expName,curec_ID,trial_schedule,session_nr,date,end_date,participant,age,gender,max_strength,block_number,trial_count,block_action_type,block_global_effort_state,block_attention_focus,trial_rating,trial_effort,trial_outcome_level,trial_actual_outcome,response,response_time,result,points,cumulative_points,effort_trace,effort_expended,effort_response_time
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-05_11h06.53.906,None,333,28,f,1.916839599609375,1,1,avoid,shifted,reward,0.6799999999999999,80,-40,-40,accept,4.259236400015652,success,0,0,"[0.17512856028402668, 0.17512856028402668, 0.19104933849166547, 0.19104933849166547, 0.19104933849166547, 0.17512856028402668, 0.20697011669930424, 0.19104933849166547, 0.19104933849166547, 0.20697011669930424, 0.19104933849166547, 0.22289089490694305, 0.22289089490694305, 0.20697011669930424, 0.20697011669930424, 0.2547324513222206, 0.2547324513222206, 0.20697011669930424, 0.23881167311458185, 0.3184155641527758, 0.41394023339860847, 0.41394023339860847, 0.52538568085208, 0.7164350193437455, 0.7323557975513842, 0.7323557975513842, 0.8438012450048559, 0.9234051360430497, 0.9234051360430497, 1.0030090270812437, 1.0189298052888824, 0.9711674706659661, 1.0348505834965211, 1.0348505834965211, 1.3214245912340197, 1.4487908168951298, 1.4487908168951298, 2.8338985209597043, 5.12649058285969, 9.663912372036746, 16.20735221537629, 16.20735221537629, 26.332967155434556, 35.073474391428256, 40.43877664740253, 40.43877664740253, 47.1573450510261, 51.869895400487174, 58.3655729092038, 58.3655729092038, 63.237331040741275, 66.7399022464218, 69.82853321870373, 69.82853321870373, 71.88231360748914, 75.32120170033912, 76.86551718648008, 76.86551718648008, 78.56904045469743, 79.44468325611756, 80.78202862555922, 80.78202862555922, 81.81687920905574, 81.8805623218863, 81.67359220518698, 81.67359220518698, 81.68951298339464, 81.38701819744949, 81.00491952046616, 81.08452341150435, 81.08452341150435, 81.38701819744949, 81.67359220518698, 82.74028434509879, 82.74028434509879, 83.90250115425641, 84.714460842846, 84.714460842846, 85.25576730190572, 87.19810224323766, 89.29964496664597, 89.29964496664597, 90.22305010268902, 91.6081578067536, 93.4549680788397, 93.4549680788397, 94.56942255337441, 95.97045103564662, 97.6421327474487, 98.83619111302161, 98.83619111302161, 98.94763656047508, 97.67397430386397, 97.67397430386397, 96.9416185063126, 97.51476652178759, 97.6421327474487, 97.6421327474487, 96.89385617168968, 96.75056916782093, 96.67096527678272, 95.49282768941745, 95.49282768941745, 94.01219531610705, 90.90764356561749, 90.20712932448139, 90.20712932448139, 90.54146566684179, 90.89172278740985, 90.4618617758036, 90.4618617758036, 90.06384232061264, 90.36633710655776, 89.1881995191925, 89.1881995191925, 86.19509321615641, 85.66970753530433, 86.0677269904953, 86.0677269904953, 85.81299453917308, 85.44681664039739, 85.27168808011336, 85.27168808011336, 85.62194520068141, 86.25877632898697, 86.54535033672445, 86.54535033672445, 85.95628154304183, 85.74931142634253, 86.08364776870293, 86.08364776870293, 87.51651780739043, 88.55136839088694, 90.3026539937272, 90.3026539937272, 91.11461368231679, 91.6081578067536, 91.54447469392304, 91.54447469392304, 91.97433570552928, 93.10471095827164, 93.8689083122383, 93.8689083122383, 94.72863033545079, 95.73163936253204, 97.02122239735078, 97.02122239735078, 98.75658722198341, 99.25013134642022, 99.26605212462786, 99.26605212462786, 99.29789368104312, 99.26605212462786, 98.85211189122924, 98.85211189122924, 98.40633010141536, 97.78541975131745, 97.30779640508828, 97.30779640508828, 96.83017305885912, 96.32070815621468, 96.32070815621468, 96.32070815621468, 96.35254971262995, 96.01821337026954, 95.90676792281607, 95.90676792281607, 96.0022925920619, 96.14557959593066, 95.89084714460843, 95.89084714460843, 96.05005492668481, 96.11373803951537, 95.81124325357024, 95.7953224753626, 95.7953224753626, 96.03413414847718, 96.30478737800703, 96.63912372036745, 96.63912372036745, 97.7694989731098, 97.83318208594036, 97.33963796150356, 97.33963796150356, 97.32371718329593, 97.46700418716466, 97.41924185254175, 97.41924185254175, 96.9097769498973, 96.71872761140564, 97.18043017942716, 97.18043017942716]",95.9083339010004,3.166214399971068
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-05_11h06.53.906,None,333,28,f,1.916839599609375,1,2,avoid,shifted,reward,0.704,90,-80,-81,accept,2.0923377000144683,success,0,0,"[0.4457817898138861, 0.42986101160624735, 0.42986101160624735, 0.3980194551909697, 0.3980194551909697, 0.3980194551909697, 0.42986101160624735, 0.42986101160624735, 0.4457817898138861, 0.3980194551909697, 0.4457817898138861, 0.4457817898138861, 0.4457817898138861, 0.4457817898138861, 0.4457817898138861, 0.4457817898138861, 0.3661778987756921, 0.3661778987756921, 0.3661778987756921, 0.3661778987756921, 0.2547324513222206, 0.3184155641527758, 0.3661778987756921, 0.3661778987756921, 0.3980194551909697, 0.5094649026444412, 1.1781375873652704, 1.735364824632628, 1.735364824632628, 2.3085128401076247, 2.404037509353457, 2.515482956806929, 2.515482956806929, 2.961264746620815, 4.043877664740252, 5.954371049656907, 5.954371049656907, 10.857970737609653, 17.48101447198739, 25.982710034866503, 25.982710034866503, 32.89232777698174, 38.38499625861712, 47.30063205489484, 47.30063205489484, 50.29373835793094, 55.483912053621175, 60.10093773383643, 63.141806371495434, 63.141806371495434, 65.2592698731114, 67.87027749916416, 69.90813710974192, 69.90813710974192, 71.5002149305058, 74.68437057203357, 76.00579516326758, 76.00579516326758, 77.15209119421758, 78.50535734186687, 79.14218847017243, 79.69941570743978, 79.69941570743978, 80.78202862555922, 81.14820652433491, 83.40895702981962, 83.40895702981962, 84.65077773001545, 87.22994379965293, 91.14645523873207, 91.14645523873207, 93.32760185317859, 94.41021477129802, 94.4898186623362, 94.4898186623362, 94.33061088025983, 94.17140309818343, 93.93259142506885, 93.93259142506885, 94.52166021875149, 95.30177835092579, 94.56942255337441, 94.56942255337441, 93.98035375969177, 93.85298753403066, 93.83706675582303, 93.83706675582303, 93.1683940711022, 91.95841492732166, 92.11762270939803, 92.11762270939803, 92.8818200633647, 93.98035375969177, 95.44506535479455, 95.44506535479455, 95.30177835092579, 95.55651080224801, 96.01821337026954, 96.01821337026954, 96.63912372036745, 97.4829249653723, 100.23721959529381, 101.70193119039659, 101.70193119039659, 102.45020776615561, 103.19848434191464, 103.45321679323685, 103.45321679323685, 103.32585056757576, 102.09995064558757, 101.82929741605771, 101.82929741605771, 102.52981165719382, 102.6890194392702, 101.70193119039659, 101.70193119039659, 101.97258441992645, 102.6890194392702, 102.75270255210074, 102.75270255210074, 102.38652465332505, 102.609415548232, 102.84822722134659, 102.84822722134659, 102.609415548232, 102.67309866106255, 103.19848434191464, 103.19848434191464, 103.35769212399101, 103.29400901116045, 103.11888045087645, 103.11888045087645, 102.8163856649313, 102.67309866106255, 102.2432376494563, 102.2432376494563, 102.30692076228686, 102.67309866106255, 102.65717788285491, 102.65717788285491, 102.38652465332505, 102.38652465332505, 102.22731687124866, 102.41836620974034, 102.41836620974034, 102.46612854436326, 102.51389087898617, 102.52981165719382, 102.52981165719382, 102.51389087898617, 102.49797010077853, 102.49797010077853, 102.49797010077853, 102.52981165719382, 102.49797010077853, 102.35468309690978, 102.72086099568547, 102.72086099568547, 103.16664278549936, 103.51689990606741, 103.85123624842782]",102.49718711168636,2.6655042999773286
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-05_11h06.53.906,None,333,28,f,1.916839599609375,1,3,avoid,shifted,reward,0.71,95,-40,-36,accept,3.145124099974055,success,0,0,"[0.6527519065131904, 0.6527519065131904, 0.6368311283055516, 0.6368311283055516, 0.6368311283055516, 0.6209103500979127, 0.6527519065131904, 0.6527519065131904, 0.5890687936826352, 0.6527519065131904, 0.6527519065131904, 0.6527519065131904, 0.6527519065131904, 0.6209103500979127, 0.684593462928468, 0.684593462928468, 0.6368311283055516, 0.6368311283055516, 0.604989571890274, 0.604989571890274, 0.6368311283055516, 0.6686726847208292, 0.6209103500979127, 0.6209103500979127, 0.6527519065131904, 0.6527519065131904, 0.6368311283055516, 0.6527519065131904, 0.6527519065131904, 0.6527519065131904, 0.6209103500979127, 0.6209103500979127, 0.604989571890274, 0.6368311283055516, 0.6209103500979127, 0.6209103500979127, 0.6368311283055516, 0.6686726847208292, 0.6209103500979127, 0.6209103500979127, 0.6209103500979127, 0.6209103500979127, 0.604989571890274, 0.6368311283055516, 0.6368311283055516, 0.6527519065131904, 0.604989571890274, 0.6527519065131904, 0.6527519065131904, 0.6686726847208292, 0.6527519065131904, 0.6527519065131904, 0.6527519065131904, 0.6368311283055516, 0.6209103500979127, 0.6209103500979127, 0.6209103500979127, 0.6368311283055516, 0.6209103500979127, 0.6527519065131904, 0.6527519065131904, 0.6368311283055516, 0.6527519065131904, 0.6527519065131904, 0.6527519065131904, 0.6209103500979127, 0.6368311283055516, 0.604989571890274, 0.604989571890274, 0.6368311283055516, 0.6368311283055516, 0.6527519065131904, 0.6527519065131904, 0.6686726847208292, 0.6368311283055516, 0.6686726847208292, 0.6686726847208292, 0.6527519065131904, 0.6527519065131904, 0.6368311283055516, 0.6368311283055516, 0.6209103500979127, 0.6368311283055516, 0.6209103500979127, 0.6209103500979127, 0.6527519065131904, 0.6527519065131904, 0.6368311283055516, 0.6368311283055516, 0.6527519065131904, 0.6686726847208292, 0.7005142411361067, 0.7005142411361067, 0.7005142411361067, 0.9711674706659661, 1.9900972759548485, 1.9900972759548485, 2.9135024119978983, 3.8209867698333095, 5.142411361067329, 6.527519065131903, 6.527519065131903, 8.804190348824251, 11.892821321106176, 14.137651048383246, 14.137651048383246, 17.974558596424192, 24.629443887217207, 31.172883730556748, 31.172883730556748, 36.26753275700116, 44.02095174412125, 48.90863065386636, 48.90863065386636, 54.003279680310776, 57.50585088599131, 57.50585088599131, 61.04026364808712, 64.4791517409371, 67.53594115680374, 67.53594115680374, 68.20461384152458, 69.63748388021207, 72.10520450239608, 72.10520450239608, 74.89134068873287, 75.87842893760647, 77.45458598016272, 77.45458598016272, 78.95113913168076, 79.97006893696964, 82.10345321679323, 82.10345321679323, 82.89949212717518, 83.6477687029342, 83.34527391698906, 83.34527391698906, 82.31042333349254, 81.8009584308481, 82.31042333349254, 82.31042333349254, 82.75620512330643, 82.72436356689114, 82.67660123226823, 82.67660123226823, 83.6477687029342, 84.73038162105364, 84.74630239926128, 84.74630239926128, 85.44681664039739, 86.13141010332585, 86.44982566747863, 86.44982566747863, 89.41109041409943, 91.57631625033832, 93.0091862890258, 93.0091862890258, 94.3146901020522, 95.63611469328622, 96.11373803951537, 97.00530161914315, 97.00530161914315, 96.6550444985751, 96.75056916782093, 99.37749757208132, 99.37749757208132, 100.20537803887855, 99.93472480934868, 99.93472480934868, 99.9824871439716, 99.21828979000493, 96.01821337026954, 96.01821337026954, 94.3624524366751, 93.96443298148414, 94.37837321488274, 95.23809523809523, 95.23809523809523, 95.38138224196399, 95.89084714460843, 96.6550444985751, 96.6550444985751, 97.94462753339384, 98.77250800019105, 99.39341835028897, 99.39341835028897, 100.87405072359937, 101.38351562624382, 102.25915842766395, 102.25915842766395, 104.28109726003407, 106.46224387448058, 108.05432169524447, 108.05432169524447, 110.18770597506806, 110.71309165592014, 110.25138908789862, 110.10810208402985, 110.10810208402985, 110.23546830969097, 110.58572543025905, 110.58572543025905, 110.99966566365764, 112.2574071420611, 114.2634251962236, 114.2634251962236, 116.55601725812357, 117.71823406728122, 117.47942239416662, 117.47942239416662, 117.06548216076801, 117.17692760822149, 117.04956138256037, 117.04956138256037, 115.23459266688955, 113.57883173329513, 113.57883173329513, 113.57883173329513, 112.16188247281526, 110.87229943799653, 110.39467609176737, 110.39467609176737, 109.96481508016112, 108.46826192864307, 107.86327235675279, 107.86327235675279, 108.29313336835904, 108.21352947732086, 107.81551002212989, 107.81551002212989, 108.4364203722278, 108.86628138383405, 107.22644122844724, 107.22644122844724, 105.5229179602299, 104.61543360239449, 103.08703889446116, 103.08703889446116, 101.38351562624382, 98.64514177452995, 98.15159765009314, 98.15159765009314, 98.15159765009314, 97.27595484867301, 97.3555587397112, 97.3555587397112, 100.17353648246325, 101.24022862237507, 101.24022862237507, 101.24022862237507, 101.03325850567575, 98.99539889509799, 98.85211189122924, 98.64514177452995, 98.64514177452995, 97.16450940121953, 96.76648994602857, 97.43516263074939, 97.43516263074939, 98.23120154113133, 98.0560729808473, 99.17052745538201, 99.17052745538201, 101.00141694926049, 101.90890130709589, 102.17955453662574, 102.17955453662574, 104.42438426390281, 107.86327235675279, 109.02548916591044, 109.02548916591044, 109.9966566365764, 113.1967330563118, 115.39380044896595, 115.39380044896595, 115.3778796707583, 115.47340434000415, 116.07839391189441, 116.07839391189441, 116.46049258887774, 115.68037445670345, 115.63261212208053, 115.63261212208053, 116.09431469010205, 116.18983935934789, 115.99879002085622, 115.99879002085622, 117.20876916463676, 117.28837305567497, 116.25352247217845, 116.25352247217845, 115.26643422330483, 114.72512776424513, 114.69328620782984, 114.69328620782984, 113.35594083838818, 111.50913056630208, 110.63348776488195, 110.63348776488195, 110.45835920459793, 109.40758784289375, 108.69115282355001, 108.69115282355001, 107.99063858241391, 107.40156978873128, 107.2105204502396, 107.22644122844724, 107.22644122844724, 106.62145165655697, 105.7298880769292, 104.50398815494101, 104.50398815494101, 103.77163235738962, 103.48505834965214, 101.81337663785006, 101.81337663785006, 101.68601041218895, 102.62533632643964, 102.62533632643964, 102.38652465332505, 102.1636337584181, 102.41836620974034, 102.46612854436326, 102.46612854436326, 101.78153508143477]",109.52399222126434,5.381003799964674
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-05_11h06.53.906,None,333,28,f,1.916839599609375,2,4,avoid,normal,reward,0.614,55,-20,-20,accept,1.487104100000579,success,0,0,"[0.5572272372673577, 0.5890687936826352, 0.5890687936826352, 0.5890687936826352, 0.5572272372673577, 0.5731480154749964, 0.5731480154749964, 0.604989571890274, 0.52538568085208, 0.5731480154749964, 0.5731480154749964, 0.5890687936826352, 0.5572272372673577, 0.5572272372673577, 0.5572272372673577, 0.5731480154749964, 0.52538568085208, 0.5731480154749964, 0.5731480154749964, 0.5731480154749964, 0.5890687936826352, 0.5890687936826352, 0.6368311283055516, 0.6368311283055516, 0.7960389103819394, 1.066692139911799, 1.4169492604798521, 1.4169492604798521, 2.706532295298594, 4.012036108324975, 5.285698364936079, 5.285698364936079, 7.387241088344398, 11.17638630176243, 14.201334161213799, 14.201334161213799, 16.621292448774895, 20.553724666061676, 26.20560092977345, 26.20560092977345, 29.533043575169955, 33.17890178471924, 36.299374313416436, 36.299374313416436, 37.73224435210393, 38.225788476540735, 37.90737291238796, 37.90737291238796, 36.74515610323033, 36.26753275700116, 36.74515610323033, 36.74515610323033, 37.445670344366434, 38.36907548040948, 39.81786629730461, 39.81786629730461, 42.73136870930251, 45.58118800846985, 46.82300870866568, 46.82300870866568, 47.061820381780265, 47.539443728009424, 48.383244973014286, 48.383244973014286, 48.829026762828164, 50.65991625670663, 53.573418668704534, 55.149575711260766, 55.149575711260766, 56.10482240371909, 57.31480154749964, 58.540701469487836, 58.540701469487836, 60.03725462100588, 60.54671952365032, 60.4989571890274, 60.53079874544268, 60.53079874544268, 60.769610418557264, 61.00842209167185, 61.74077788922323, 61.74077788922323, 62.743786916304465, 62.807470029135025, 62.696024581681556, 62.696024581681556, 62.839311585550305, 63.04628170224961, 63.09404403687252, 63.09404403687252, 63.04628170224961, 62.807470029135025, 62.56865835602044, 62.56865835602044, 62.17063890082948, 61.74077788922323, 61.549728550731565, 61.549728550731565, 61.70893633280795, 61.852223336676694, 61.78854022384614, 61.78854022384614, 61.86814411488434, 61.931827227714884, 61.884064893091974, 61.629332441769755, 61.629332441769755, 61.61341166356211, 61.39052076865518, 61.10394676091767, 61.10394676091767, 60.944738978841286, 60.69000652751907, 60.54671952365032, 60.54671952365032, 60.43527407619684, 60.276066294120454, 60.06909617742116, 60.06909617742116, 60.10093773383643, 60.244224737705174, 60.5785610800656, 60.5785610800656, 60.62632341468851, 60.912897422426006, 60.992501313464196, 60.992501313464196, 60.992501313464196]",60.98545441163459,2.0993538000038825
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-05_11h06.53.906,None,333,28,f,1.916839599609375,2,5,avoid,normal,reward,0.614,90,-40,-40,accept,1.15030520001892,success,0,0,"[0.41394023339860847, 0.41394023339860847, 0.38209867698333094, 0.38209867698333094, 0.38209867698333094, 0.3980194551909697, 0.3980194551909697, 0.3980194551909697, 0.38209867698333094, 0.41394023339860847, 0.41394023339860847, 0.41394023339860847, 0.3980194551909697, 0.41394023339860847, 0.3661778987756921, 0.3661778987756921, 0.3980194551909697, 0.42986101160624735, 0.42986101160624735, 0.42986101160624735, 0.4617025680215249, 0.684593462928468, 1.2418207001958255, 3.247838754358313, 3.247838754358313, 5.938450271449269, 10.905733072232572, 15.761570425562402, 15.761570425562402, 23.1488115139068, 30.26539937272134, 35.328206842750475, 35.328206842750475, 39.57905462419003, 47.12550349461082, 49.24296699622678, 49.24296699622678, 52.936587540398975, 57.07598987438506, 58.620305360526025, 58.620305360526025, 59.878046838929485, 60.81737275318018, 63.062202480457245, 63.062202480457245, 64.87717119612807, 66.89911002849819, 69.20762286860582, 69.20762286860582, 71.3728487048447, 75.81474582477593, 79.42876247790991, 81.96016621292449, 81.96016621292449, 83.71145181576476, 84.14131282737101, 84.98511407237585, 84.98511407237585, 86.57719189313974, 88.96530862428556, 91.28974224260081, 91.28974224260081, 91.99025648373691, 93.24799796214039, 93.24799796214039, 94.34653165846747, 94.77639267007372, 95.73163936253204, 95.73163936253204, 96.6550444985751, 97.5625288564105, 98.37448854500008, 97.5625288564105, 97.5625288564105, 97.70581586027926, 98.80434955660633, 97.6421327474487, 97.6421327474487, 96.6550444985751, 95.20625368167997, 94.9356004521501, 96.09781726130772, 96.09781726130772, 96.28886659979939, 96.27294582159176, 95.84308480998551, 95.84308480998551, 95.81124325357024, 96.16150037413828, 96.67096527678272, 96.67096527678272, 97.43516263074939, 96.6550444985751, 96.30478737800703, 96.30478737800703, 96.0818964831001, 95.31769912913344, 95.98637181385426, 95.98637181385426, 95.82716403177788, 93.43904730063205, 92.53156294279664, 92.53156294279664, 91.59223702854595, 90.4618617758036, 88.99715018070083, 88.99715018070083, 88.86978395503972, 88.8220216204168, 89.61806053079874, 89.61806053079874, 90.00015920778208, 89.49069430513762, 89.12451640636195, 89.12451640636195, 90.58922800146472, 91.0350097912786, 90.20712932448139, 90.20712932448139, 91.33750457722374, 91.92657337090637, 92.05393959656747, 92.05393959656747, 92.83405772874178, 93.4549680788397, 93.96443298148414, 93.96443298148414, 94.10771998535289, 94.1554823199758, 94.66494722262024, 94.66494722262024, 95.25401601630288, 95.26993679451051, 96.12965881772301, 96.6232029421598, 96.6232029421598, 96.44807438187578, 96.41623282546051, 96.7824107242362, 96.7824107242362, 97.05306395376606, 97.02122239735078, 96.47991593829106, 96.47991593829106, 95.87492636640079, 95.87492636640079, 96.11373803951537, 96.11373803951537, 96.9097769498973, 97.97646908980911, 96.71872761140564, 96.71872761140564, 95.7157185843244, 94.39429399309039, 93.91667064686122, 93.91667064686122, 92.92958239798762, 91.62407858496124, 93.26391874034803, 93.26391874034803, 93.96443298148414, 92.05393959656747, 90.95540590024041, 90.95540590024041, 91.14645523873207, 91.84696947986818, 91.1623760169397, 91.1623760169397, 90.31857477193486, 90.84396045278693, 91.11461368231679, 91.11461368231679, 90.81211889637166, 91.28974224260081, 91.22605912977026, 91.22605912977026]",93.72301134472892,2.8982173999538645
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-05_11h06.53.906,None,333,28,f,1.916839599609375,2,6,avoid,normal,reward,0.29000000000000004,90,-60,-55,reject,1.4001792999915779,None,-55,-55,"null",None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-05_11h06.53.906,None,333,28,f,1.916839599609375,3,7,avoid,shifted,heart,0.398,80,-40,-40,reject,13.677923800016288,None,-40,-95,"null",None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-05_11h06.53.906,None,333,28,f,1.916839599609375,3,8,avoid,shifted,heart,0.6579999999999999,90,-80,-81,reject,3.7200949999969453,None,-81,-176,"null",None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-05_11h06.53.906,None,333,28,f,1.916839599609375,3,9,avoid,shifted,heart,0.246,95,-40,-36,reject,4.600252799980808,None,-36,-212,"null",None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-05_11h06.53.906,None,333,28,f,1.916839599609375,4,10,avoid,normal,heart,0.5800000000000001,55,-20,-20,accept,5.956046699953731,success,0,-212,"[1.8627310502937384, 2.133384279823598, 2.133384279823598, 2.133384279823598, 2.6428491824680393, 3.215997197943035, 3.215997197943035, 3.9165114390791422, 4.617025680215249, 5.3493814777666335, 5.92252949324163, 5.92252949324163, 7.339478753721481, 9.663912372036746, 12.927671904602697, 12.927671904602697, 14.424225056120743, 17.401410580949197, 21.270159685405424, 25.632452914298455, 25.632452914298455, 29.405677349508846, 32.19181353584563, 35.503335403034505, 35.503335403034505, 37.65264046106574, 39.945232522965725, 43.065705051662924, 43.065705051662924, 45.48566333922402, 47.38023594593304, 48.606135867921225, 48.606135867921225, 50.182292910477464, 51.01017337727468, 51.3445097196351, 51.3445097196351, 52.618171976246195, 53.573418668704534, 54.48090302653994, 54.48090302653994, 55.643119835697576, 56.3913964114566, 57.10783143080034, 57.74466255910588, 57.74466255910588, 57.74466255910588, 57.77650411552116, 57.82426645014408, 57.82426645014408, 57.93571189759755, 58.3655729092038, 59.20937415420866, 59.20937415420866, 60.196462403082265, 61.088025982710036, 61.629332441769755, 61.629332441769755, 62.21840123545239, 62.48905446498225, 62.759707694512116, 62.99851936762669, 62.99851936762669, 63.141806371495434, 62.88707392017322, 62.409450573944056, 62.409450573944056, 61.915906449507254, 61.454203881485725, 61.19947143016351, 61.19947143016351, 61.088025982710036, 61.04026364808712, 61.056184426294756, 61.056184426294756, 61.07210520450239, 60.88105586601073, 60.64224419289614, 60.562640301857954, 60.562640301857954, 60.5785610800656, 60.48303641081976, 60.61040263648088, 60.61040263648088, 61.119867539125316, 61.486045437901005, 61.72485711101559, 61.72485711101559, 62.059193453376004, 62.377609017528776, 62.345767461113496, 62.18655967903711, 62.18655967903711, 62.26616357007531, 62.26616357007531, 62.18655967903711, 62.18655967903711, 62.32984668290587, 62.53681679960516, 62.807470029135025, 62.807470029135025, 62.95075703300377]",60.900630593315206,1.6660046000033617
