expName,curec_ID,trial_schedule,session_nr,date,start_time,end_time,duration,participant,age,gender,max_strength,block_number,trial_count,block_action_type,block_global_effort_state,block_attention_focus,trial_rating,trial_rating_time,trial_rating_random_start_pos,trial_effort,trial_outcome_level,trial_actual_outcome,response,response_time,result,points,cumulative_points,effort_trace,effort_expended,effort_response_time,final_bonus_payment
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-09-18_11h16.36.139,2024-09-18 11:16:49,None,None,999,,,3.632625,1,1,avoid,shifted,reward,None,None,None,80,-40,-40,accept,1.0714170000283048,success,0,0,"[106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0]",106.0,1.0492683000629768,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-09-18_11h16.36.139,2024-09-18 11:16:49,None,None,999,,,3.632625,1,2,avoid,shifted,reward,None,None,None,90,-80,-81,accept,0.6033358999993652,success,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.0, 34.0, 46.0, 52.0, 63.0, 72.0, 80.0, 86.0, 91.0, 93.0, 95.0, 102.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 104.0, 104.0, 106.0, 109.0, 110.0, 110.0, 111.0, 113.0, 113.0, 114.0, 116.0]",105.45161290322581,3.177224500104785,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-09-18_11h16.36.139,2024-09-18 11:16:49,None,None,999,,,3.632625,1,3,avoid,shifted,reward,None,None,None,95,-40,-36,reject,1.3811353000346571,None,-36,-36,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-09-18_11h16.36.139,2024-09-18 11:16:49,None,None,999,,,3.632625,2,4,avoid,normal,reward,None,None,None,55,-20,-20,accept,0.905587499961257,success,0,-36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 3.0, 5.0, 10.0, 11.0, 14.0, 15.0, 17.0, 22.0, 26.0, 31.0, 34.0, 41.0, 46.0, 48.0, 49.0, 49.0, 50.0, 51.0, 54.0, 57.0, 59.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 61.0, 61.0, 61.0, 61.0, 61.0, 61.0, 61.0, 61.0, 61.0, 61.0, 61.0, 61.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0, 62.0]",61.03846153846154,2.996188500081189,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-09-18_11h16.36.139,2024-09-18 11:16:49,None,None,999,,,3.632625,2,5,avoid,normal,reward,None,None,None,90,-40,-40,accept,0.7271412999834865,success,0,-36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0, 9.0, 13.0, 14.0, 19.0, 24.0, 29.0, 32.0, 36.0, 40.0, 41.0, 41.0, 42.0, 47.0, 51.0, 57.0, 60.0, 64.0, 72.0, 72.0, 72.0, 72.0, 73.0, 73.0, 78.0, 84.0, 84.0, 84.0, 84.0, 84.0, 86.0, 87.0, 88.0, 89.0, 90.0, 90.0, 90.0, 91.0, 92.0, 92.0, 94.0, 95.0, 97.0, 98.0, 100.0, 100.0, 100.0, 101.0, 102.0, 104.0, 104.0, 104.0, 104.0, 104.0, 104.0, 104.0, 104.0, 103.0, 101.0, 99.0, 98.0, 98.0, 97.0, 96.0, 96.0, 96.0, 96.0, 96.0, 96.0, 96.0, 96.0, 96.0]",97.0,2.830714999930933,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-09-18_11h16.36.139,2024-09-18 11:16:49,None,None,999,,,3.632625,2,6,avoid,normal,reward,None,None,None,90,-60,-55,reject,0.8585668000159785,None,-55,-91,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-09-18_11h16.36.139,2024-09-18 11:16:49,None,None,999,,,3.632625,3,7,avoid,shifted,heart,None,None,None,80,-40,-40,accept,0.7618613999802619,success,0,-91,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0, 6.0, 13.0, 19.0, 23.0, 27.0, 36.0, 46.0, 51.0, 54.0, 60.0, 64.0, 70.0, 77.0, 87.0, 96.0, 111.0, 121.0, 139.0, 148.0, 155.0, 156.0, 157.0, 157.0, 157.0, 157.0, 157.0, 157.0, 153.0, 150.0, 145.0, 142.0, 140.0, 136.0, 129.0, 125.0, 122.0, 119.0, 116.0, 116.0, 116.0, 116.0, 115.0, 115.0, 114.0, 112.0, 109.0, 107.0, 105.0, 105.0, 102.0, 101.0, 99.0, 99.0, 99.0, 98.0, 97.0]",125.47619047619048,3.4221634999848902,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-09-18_11h16.36.139,2024-09-18 11:16:49,None,None,999,,,3.632625,3,8,avoid,shifted,heart,None,None,None,90,-80,-81,reject,0.3717797000426799,None,-81,-172,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-09-18_11h16.36.139,2024-09-18 11:16:49,None,None,999,,,3.632625,3,9,avoid,shifted,heart,None,None,None,95,-40,-36,accept,0.8577029999578372,success,0,-172,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 7.0, 17.0, 21.0, 23.0, 25.0, 29.0, 30.0, 32.0, 36.0, 40.0, 45.0, 47.0, 48.0, 52.0, 57.0, 64.0, 67.0, 71.0, 74.0, 79.0, 81.0, 84.0, 87.0, 93.0, 94.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 99.0, 101.0, 104.0, 105.0, 106.0, 106.0, 106.0, 107.0, 107.0, 107.0, 107.0, 107.0, 107.0, 108.0, 108.0, 108.0, 108.0, 108.0, 109.0, 109.0, 111.0, 114.0, 115.0, 116.0, 116.0, 116.0, 116.0, 116.0, 116.0, 116.0, 116.0, 116.0, 116.0, 116.0, 116.0, 116.0, 116.0, 115.0, 111.0, 109.0, 109.0, 109.0, 109.0, 109.0, 109.0, 109.0]",111.06976744186046,3.6860594999743626,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-09-18_11h16.36.139,2024-09-18 11:16:49,None,None,999,,,3.632625,4,10,avoid,normal,heart,None,None,None,55,-20,-20,reject,0.7242469000630081,None,-20,-192,"null",None,None,None
