expName,curec_ID,trial_schedule,session_nr,date,end_date,participant,age,gender,max_strength,block_number,trial_count,block_action_type,block_global_effort_state,block_attention_focus,trial_rating,trial_effort,trial_outcome_level,trial_actual_outcome,response,response_time,result,points,cumulative_points,effort_trace,effort_expended,effort_response_time,final_bonus_payment
reward-effort-pgACC-TUS,R88533/RE002,testing,1,2024-07-10_14h12.49.102,None,999,28,f,2.989898681640625,1,1,avoid,shifted,reward,None,80,-40,-40,reject,0.7775566999334842,None,-40,-40,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,1,2024-07-10_14h12.49.102,None,999,28,f,2.989898681640625,1,2,avoid,shifted,reward,None,90,-80,-81,accept,0.5419753000605851,success,0,-40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.0, 31.0, 52.0, 58.0, 64.0, 68.0, 72.0, 77.0, 85.0, 98.0, 106.0, 112.0, 113.0, 113.0, 117.0, 138.0, 158.0, 163.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0, 164.0]",157.4909090909091,1.7071084999479353,None
reward-effort-pgACC-TUS,R88533/RE002,testing,1,2024-07-10_14h12.49.102,None,999,28,f,2.989898681640625,1,3,avoid,shifted,reward,None,95,-40,-36,accept,0.4602398999268189,success,0,-40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.0, 34.0, 48.0, 60.0, 79.0, 87.0, 93.0, 99.0, 103.0, 109.0, 115.0, 118.0, 124.0, 128.0, 129.0, 134.0, 141.0, 148.0, 152.0, 155.0, 158.0, 159.0, 161.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0, 162.0]",154.59677419354838,1.3328808000078425,None
reward-effort-pgACC-TUS,R88533/RE002,testing,1,2024-07-10_14h12.49.102,None,999,28,f,2.989898681640625,2,4,avoid,normal,reward,None,55,-20,-20,reject,0.6296797000104561,None,-20,-60,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,1,2024-07-10_14h12.49.102,None,999,28,f,2.989898681640625,2,5,avoid,normal,reward,None,90,-40,-40,reject,0.6552482000552118,None,-40,-100,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,1,2024-07-10_14h12.49.102,None,999,28,f,2.989898681640625,2,6,avoid,normal,reward,None,90,-60,-55,accept,0.37855460005812347,success,0,-100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.0, 49.0, 74.0, 96.0, 112.0, 125.0, 131.0, 137.0, 142.0, 147.0, 150.0, 153.0, 155.0, 156.0, 159.0, 161.0, 165.0, 168.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0, 169.0]",162.90322580645162,1.6603195000207052,None
reward-effort-pgACC-TUS,R88533/RE002,testing,1,2024-07-10_14h12.49.102,None,999,28,f,2.989898681640625,3,7,avoid,shifted,heart,None,80,-40,-40,accept,0.568205300020054,success,0,-100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.0, 67.0, 102.0, 127.0, 144.0, 159.0, 169.0, 174.0, 175.0, 175.0, 175.0, 175.0, 176.0, 178.0, 183.0, 186.0, 190.0, 193.0, 193.0, 194.0, 194.0, 196.0, 198.0, 200.0, 202.0, 203.0, 203.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0, 204.0]",193.74193548387098,1.631188700092025,None
reward-effort-pgACC-TUS,R88533/RE002,testing,1,2024-07-10_14h12.49.102,None,999,28,f,2.989898681640625,3,8,avoid,shifted,heart,None,90,-80,-81,accept,0.36385409999638796,success,0,-100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39.0, 118.0, 165.0, 199.0, 214.0, 220.0, 221.0, 222.0, 223.0, 223.0, 223.0, 224.0, 225.0, 225.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0, 226.0]",221.859649122807,1.3703249000245705,None
reward-effort-pgACC-TUS,R88533/RE002,testing,1,2024-07-10_14h12.49.102,None,999,28,f,2.989898681640625,3,9,avoid,shifted,heart,None,95,-40,-36,reject,0.38723120000213385,None,-36,-136,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,1,2024-07-10_14h12.49.102,None,999,28,f,2.989898681640625,4,10,avoid,normal,heart,None,55,-20,-20,accept,0.6102131999796256,success,0,-136,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.0, 9.0, 9.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 12.0, 45.0, 79.0, 126.0, 150.0, 167.0, 178.0, 189.0, 192.0, 195.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0, 196.0]",191.29032258064515,1.8324201999930665,None
