expName,curec_ID,trial_schedule,session_nr,date,start_time,end_time,duration,participant,age,gender,max_strength,block_number,trial_count,block_action_type,block_global_effort_state,block_attention_focus,trial_rating,trial_effort,trial_outcome_level,trial_actual_outcome,response,response_time,result,points,cumulative_points,effort_trace,effort_expended,effort_response_time,final_bonus_payment
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,1,1,avoid,shifted,reward,None,80,-40,-40,reject,1.1910268000792712,None,-40,-40,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,1,2,avoid,shifted,reward,None,90,-80,-81,reject,186.44834840018302,None,-81,-121,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,1,3,avoid,shifted,reward,None,95,-40,-36,reject,0.48197840014472604,None,-36,-157,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,2,4,avoid,normal,reward,None,55,-20,-20,reject,0.5279859001748264,None,-20,-177,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,2,5,avoid,normal,reward,None,90,-40,-40,reject,0.9247943002264947,None,-40,-217,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,2,6,avoid,normal,reward,None,90,-60,-55,reject,0.7134177000261843,None,-55,-272,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,3,7,avoid,shifted,heart,None,80,-40,-40,reject,0.4762013000436127,None,-40,-312,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,3,8,avoid,shifted,heart,None,90,-80,-81,reject,0.8247886998578906,None,-81,-393,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,3,9,avoid,shifted,heart,None,95,-40,-36,reject,0.871795600047335,None,-36,-429,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,4,10,avoid,normal,heart,None,55,-20,-20,reject,2.6180592998862267,None,-20,-449,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,4,11,avoid,normal,heart,None,90,-40,-40,reject,5.795999800087884,None,-40,-489,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,4,12,avoid,normal,heart,None,90,-60,-55,reject,4.522279399912804,None,-55,-544,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,5,13,approach,shifted,reward,None,85,80,80,reject,0.46345709986053407,None,0,-544,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,5,14,approach,shifted,reward,None,70,40,51,reject,0.412825700128451,None,0,-544,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,5,15,approach,shifted,reward,None,60,20,20,reject,1.053840700071305,None,0,-544,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,6,16,approach,normal,reward,None,100,80,72,reject,0.7300515999086201,None,0,-544,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,6,17,approach,normal,reward,None,60,100,98,reject,0.7467632000334561,None,0,-544,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,testing,0,2024-07-30_12h55.18.893,2024-07-30 12:55:33,None,None,99,,,3.632625,6,18,approach,normal,reward,None,85,60,55,reject,0.6222282000817358,None,0,-544,"null",None,None,None
