expName,curec_ID,trial_schedule,session_nr,date,start_time,end_time,duration,participant,age,gender,max_strength,block_number,trial_count,block_action_type,block_global_effort_state,block_attention_focus,trial_rating,trial_effort,trial_outcome_level,trial_actual_outcome,response,response_time,result,points,cumulative_points,effort_trace,effort_expended,effort_response_time,final_bonus_payment
reward-effort-pgACC-TUS,R88533/RE002,A_2,2,2024-07-18_16h12.23.731,2024-07-18 16:15:54,None,None,1,,,2.020314534505208,1,1,approach,shifted,heart,None,50,100,95,accept,1.472608499985654,success,95,95,"[3.428916693940234, 4.999874122000957, 6.993781626847261, 6.993781626847261, 10.014853603887113, 14.410513330480102, 16.978424510963976, 16.978424510963976, 21.28345207824577, 27.189647793358677, 30.981093124543698, 30.981093124543698, 36.28307444424864, 40.572996651645234, 45.3613957352534, 45.3613957352534, 47.476146119181294, 51.297802170136706, 55.84451549558169, 57.88373908008359, 57.88373908008359, 59.7416983459631, 60.61780921930466, 60.829284257697445, 60.829284257697445, 60.61780921930466, 60.300596661715474, 60.17975378263388, 60.17975378263388, 60.149543062863486, 60.255280582059875, 60.436544900682264, 60.436544900682264, 60.874600337353044, 61.055864655975434, 61.448604012990614, 61.448604012990614, 61.91687016943179, 62.64192744392136, 63.366984718410926, 63.59356511668891, 63.59356511668891, 63.39719543818132, 63.11019360036254, 63.75972407542611, 63.75972407542611, 64.10714735278569, 64.60562422899726, 65.19473326452004, 65.52705118199442, 65.52705118199442, 65.54215654187962, 65.66299942096121, 65.66299942096121, 65.60257798142042, 65.46662974245362, 64.99836358601245, 65.16452254474963, 65.16452254474963, 65.61768334130562, 65.7083155006168, 65.39110294302762, 65.39110294302762, 65.07389038543843, 64.78688854761965, 64.22799023186728, 64.22799023186728, 64.13735807255608, 64.33372775106368, 64.31862239117848, 64.18267415221169, 64.18267415221169, 64.78688854761965, 65.798947659928, 65.9046851791244, 65.9046851791244, 65.9046851791244, 65.7385262203872, 65.39110294302762, 65.39110294302762, 64.69625638830846, 64.54520278945647, 64.77178318773446]",63.66421921937778,1.3937564000079874,None
reward-effort-pgACC-TUS,R88533/RE002,A_2,2,2024-07-18_16h12.23.731,2024-07-18 16:15:54,None,None,1,,,2.020314534505208,1,2,approach,shifted,heart,None,70,40,38,reject,2.3025189000181854,None,0,95,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_2,2,2024-07-18_16h12.23.731,2024-07-18 16:15:54,None,None,1,,,2.020314534505208,1,3,approach,shifted,heart,None,60,100,119,accept,1.270167600014247,success,119,214,"[1.2537448704715393, 1.2688502303567384, 1.2688502303567384, 1.2839555902419377, 1.2839555902419377, 1.2839555902419377, 1.4803252687495283, 1.7371163867979156, 2.3111200624354877, 2.3111200624354877, 2.7944915787618645, 3.5950756526774255, 4.95455804234536, 4.95455804234536, 6.495304750635684, 9.788273205609126, 13.927141814153723, 13.927141814153723, 17.431585307519953, 26.736486996802704, 33.70005790387957, 33.70005790387957, 40.85999848946402, 48.125676594244865, 54.86266710304374, 54.86266710304374, 59.57553938722591, 63.865461594622495, 68.1855945217895, 75.13406006898116, 75.13406006898116, 77.71707660935023, 80.5719896276529, 81.84083985800963, 81.84083985800963, 83.10969008836638, 83.50242944538154, 84.3332242390675, 84.3332242390675, 85.72291734850585, 85.93439238689862, 83.78943128320033, 83.41179728607035, 83.41179728607035, 82.65652929181039, 81.67468089927243, 81.41788978122405, 81.41788978122405, 81.07046650386447, 80.5115681881121, 80.30009314971932, 80.30009314971932, 80.55688426776769, 80.4209360288009, 80.4058306689157, 80.4058306689157, 80.94962362478287, 81.14599330329047, 81.20641474283126, 81.20641474283126, 81.05536114397927, 80.78346466604567, 80.3454092293749, 79.78651091362254, 79.78651091362254, 78.71403036177338, 78.1249213262506, 78.1249213262506, 78.14002668613581, 78.1249213262506, 77.32433725233506, 76.1763299010599, 76.1763299010599, 76.0101709423227, 75.72316910450392, 75.08874398932555, 75.08874398932555, 75.01321718989956, 75.01321718989956, 74.81684751139197, 74.81684751139197, 74.71110999219557, 75.22469222829234, 75.46637798645554, 75.46637798645554, 75.34553510737393, 75.33042974748875, 75.48148334634074, 75.66274766496312]",79.0252998269487,1.4787794000003487,None
reward-effort-pgACC-TUS,R88533/RE002,A_2,2,2024-07-18_16h12.23.731,2024-07-18 16:15:54,None,None,1,,,2.020314534505208,1,4,approach,shifted,heart,None,80,80,74,accept,1.3200843000086024,success,74,288,"[6.616147629717278, 10.573751919639488, 10.573751919639488, 14.289670451398507, 20.784975202034193, 27.99023186727424, 27.99023186727424, 34.62148485687672, 38.97182850381411, 45.72392437249818, 45.72392437249818, 48.563732030915645, 54.877772462928945, 59.21301074998113, 59.21301074998113, 62.92892928174014, 66.0708441378616, 69.43933939226103, 69.43933939226103, 72.94378288562726, 75.48148334634074, 77.29412653256465, 79.63545731477055, 79.63545731477055, 80.67772714684929, 81.68978625915764, 82.58100249238439, 82.58100249238439, 83.77432592331515, 87.20324261725537, 89.33309836106847, 89.33309836106847, 91.22126834671838, 92.8979632939755, 93.29070265099068, 93.72875808766146, 93.72875808766146, 95.23929407618138, 95.46587447445937, 94.93718687847739, 94.93718687847739, 94.755922559855, 95.16376727675538, 93.66833664812066, 93.66833664812066, 92.8677525742051, 93.03391153294228, 93.13964905213868, 93.13964905213868, 92.83754185443469, 93.54749376903906, 94.19702424410264, 94.19702424410264, 93.54749376903906, 93.16985977190907, 93.57770448880946, 93.57770448880946, 93.68344200800585, 92.9734900934015, 92.17290601948592, 92.17290601948592, 91.67442914327435, 90.34515747337682, 87.29387477656655, 87.29387477656655, 86.719871100929, 87.00687293874778, 86.3573424636842, 86.3573424636842, 86.17607814506182, 87.80745701266333, 88.07935349059693, 87.88298381208934, 87.88298381208934, 88.5023035673825, 90.31494675360642, 90.93426650889958, 91.34211122579997, 91.34211122579997, 92.00674706074874, 92.6109614561567, 92.8677525742051, 92.8677525742051, 93.48707232949826, 94.25744568364343, 94.8616600790514, 94.8616600790514, 94.9976083180182, 95.16376727675538, 97.62594093804286, 97.62594093804286]",92.04767771334087,1.5148403999919537,None
reward-effort-pgACC-TUS,R88533/RE002,A_2,2,2024-07-18_16h12.23.731,2024-07-18 16:15:54,None,None,1,,,2.020314534505208,1,5,approach,shifted,heart,None,70,60,71,accept,2.1003818000026513,success,71,359,"[1.3292716698975355, 1.3745877495531333, 1.3745877495531333, 1.3443770297827349, 1.4047984693235318, 1.3896931094383325, 1.3896931094383325, 1.4350091890939303, 1.4954306286347274, 2.3111200624354877, 2.3111200624354877, 3.8216560509554145, 5.77024747614612, 7.250572744895647, 7.250572744895647, 11.313914554014252, 14.274565091513308, 18.035799702927925, 18.035799702927925, 23.367991742403266, 28.09596938647064, 33.201581027667984, 33.201581027667984, 37.89934795196496, 45.316079655597804, 48.20120339367086, 48.20120339367086, 55.08924750132172, 57.49099972306841, 59.90785730470029, 59.90785730470029, 62.26429344679138, 63.7899347951965, 64.96815286624205, 64.96815286624205, 65.9197905390096, 67.20374612925154, 67.83817124442992, 68.29133204098589, 68.29133204098589, 70.58734674353617, 72.77762392689007, 73.23078472344605, 73.23078472344605, 73.15525792402005, 74.4241081543768, 74.93769039047356, 74.93769039047356, 75.45127262657034, 77.65665516980943, 80.5115681881121, 80.5115681881121, 81.17620402306086, 81.94657737720603, 82.5961078522696, 82.5961078522696, 82.71695073135119, 83.18521688779236, 83.35137584652955, 83.35137584652955, 83.84985272274113, 84.7863850356235, 85.73802270839104, 85.73802270839104, 85.82865486770224, 83.59306160469274, 82.32421137433602, 82.15805241559882, 82.15805241559882, 82.03720953651722, 82.11273633594321, 82.44505425341761, 82.44505425341761, 82.83779361043278, 84.4238563983787, 86.719871100929, 86.719871100929, 87.14282117771457, 87.38450693587777, 87.36940157599255, 87.36940157599255, 87.32408549633696, 88.13977493013773, 88.42677676795651, 88.6533571662345, 88.6533571662345, 89.66541627854285, 90.05815563555804, 89.37841444072406, 89.37841444072406, 89.24246620175727, 89.03099116336448, 86.70476574104379, 86.70476574104379, 85.82865486770224, 85.46612623045745, 85.01296543390147, 85.01296543390147, 84.90722791470509, 84.6353314367715, 84.72596359608269, 84.72596359608269, 84.80149039550868, 83.59306160469274, 83.83474736285594, 84.4993831978047, 84.4993831978047, 83.83474736285594, 83.53264016515195, 83.45711336572596]",84.74131259080475,1.8306004999903962,None
reward-effort-pgACC-TUS,R88533/RE002,A_2,2,2024-07-18_16h12.23.731,2024-07-18 16:15:54,None,None,1,,,2.020314534505208,1,6,approach,shifted,heart,0.564,50,80,59,accept,1.9132648000086192,success,59,418,"[1.4803252687495283, 1.4501145489791296, 1.4501145489791296, 1.4501145489791296, 1.4501145489791296, 1.4501145489791296, 1.4501145489791296, 1.4199038292087311, 1.4199038292087311, 1.4803252687495283, 1.4954306286347274, 1.4652199088643287, 1.4652199088643287, 1.4652199088643287, 1.4350091890939303, 1.4199038292087311, 1.4199038292087311, 1.4350091890939303, 1.4501145489791296, 1.4803252687495283, 1.4803252687495283, 1.4652199088643287, 2.160066463583495, 3.8216560509554145, 3.8216560509554145, 5.196243800508548, 6.631252989602478, 9.108532010775159, 14.032879333350119, 14.032879333350119, 16.88779235165278, 21.691296795146148, 27.401122831751472, 27.401122831751472, 31.117041363510488, 34.81785453538431, 38.15613907001335, 38.15613907001335, 41.1167896075124, 42.97474887339192, 45.965610130661375, 45.965610130661375, 47.23446036101811, 47.70272651745929, 48.14078195413006, 48.50331059137485, 48.50331059137485, 48.98668210770122, 49.12263034666802, 49.87789834092798, 49.87789834092798, 51.97754336497068, 52.929181037738225, 54.63608670476575, 54.63608670476575, 55.87472621535209, 56.46383525087486, 57.007628206742034, 57.007628206742034, 58.12542483824677, 58.88069283250674, 59.95317338435589, 61.59965761184261, 61.59965761184261, 63.231036479444136, 64.43946527026007, 65.63278870119082, 65.63278870119082, 66.49379421464717, 67.79285516477431, 68.1855945217895, 68.1855945217895, 68.85023035673827, 69.69613051030942, 70.1492913068654, 70.1492913068654, 70.63266282319177, 71.01029682032176, 70.78371642204377, 69.43933939226103, 69.43933939226103, 68.39706956018227, 67.44543188741473, 66.64484781349917, 66.64484781349917, 66.50889957453238, 66.79590141235116, 66.78079605246596, 66.78079605246596, 67.09800861005515, 68.21580524155989, 69.36381259283505, 69.36381259283505, 69.30339115329424, 70.19460738652099, 70.45139850456938, 70.45139850456938, 69.968026988243, 69.65081443065382, 69.66591979053902, 69.42423403237584, 69.42423403237584, 68.48770171949347, 67.8079605246595, 67.56627476649632, 67.56627476649632, 67.14332468971074, 66.88653357166235, 66.88653357166235, 66.84121749200675, 66.69016389315476, 66.50889957453238, 66.41826741522118, 66.41826741522118, 66.43337277510638, 66.11616021751719, 65.9197905390096, 65.9197905390096, 66.0859494977468, 66.13126557740239, 65.95000125878, 66.0406334180912]",67.32531991284371,2.0316719000111334,None
reward-effort-pgACC-TUS,R88533/RE002,A_2,2,2024-07-18_16h12.23.731,2024-07-18 16:15:54,None,None,1,,,2.020314534505208,1,7,approach,shifted,heart,None,80,20,23,reject,1.8024753000063356,None,0,418,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_2,2,2024-07-18_16h12.23.731,2024-07-18 16:15:54,None,None,1,,,2.020314534505208,1,8,approach,shifted,heart,None,85,100,98,accept,1.5576386000029743,success,98,516,"[1.1933234309307421, 1.2235341507011408, 1.2084287908159412, 1.2084287908159412, 1.2235341507011408, 1.1782180710455428, 1.1782180710455428, 1.1631127111603436, 1.1782180710455428, 1.132901991389945, 1.132901991389945, 1.1631127111603436, 1.1782180710455428, 1.2537448704715393, 1.5407467082903252, 1.5407467082903252, 2.5679111804838755, 6.1025653936205035, 11.10243951562146, 11.10243951562146, 15.25641348405126, 23.277359583092068, 29.93882329246495, 29.93882329246495, 35.965861886659454, 42.989854233277114, 48.14078195413006, 48.14078195413006, 55.391354699025705, 59.938068024470695, 63.895672314392904, 66.52400493441758, 66.52400493441758, 68.23091060144509, 70.0888698673246, 73.00420432516805, 73.00420432516805, 76.04038166209311, 77.86813020820222, 80.1943556305229, 80.1943556305229, 81.55383802019084, 82.24868457491002, 82.65652929181039, 83.95559024193753, 83.95559024193753, 84.75617431585309, 84.5598046373455, 85.84376022758744, 85.84376022758744, 86.08544598575062, 85.05828151355708, 84.28790815941191, 84.28790815941191, 85.10359759321267, 85.23954583217946, 85.37549407114626, 85.37549407114626, 86.37244782356942, 87.98872133128573, 89.78625915762444, 89.78625915762444, 90.81342362981799, 91.38742730545557, 92.7318043352383, 92.7318043352383, 94.03086528536544, 96.47793358676772, 97.77699453689486, 97.77699453689486, 98.48694645149922, 98.06399637471365, 97.86762669620606, 97.86762669620606, 97.50509805896127, 97.39936053976488, 97.52020341884646, 97.56551949850206, 97.56551949850206, 98.33589285264723, 98.9552126079404, 99.92195564059315, 101.1303844314091, 101.1303844314091, 101.62886130762068, 101.32675410991669, 101.32675410991669, 101.0397522720979, 101.49291306865386, 101.58354522796506, 101.58354522796506, 101.47780770876868, 101.44759698899828, 101.90075778555425, 102.09712746406186, 102.09712746406186, 101.50801842853907, 101.41738626922788, 101.26633267037587, 101.26633267037587, 100.51106467611592, 100.67722363485312, 100.69232899473832, 100.69232899473832, 100.7829611540495, 100.34490571737874, 100.42043251680472, 100.39022179703431, 100.39022179703431, 100.17874675864154, 100.25427355806752, 100.29958963772314, 100.29958963772314, 100.29958963772314, 100.36001107726393, 100.22406283829714, 100.22406283829714, 99.69537524231517, 99.48390020392237, 99.58963772311876, 99.58963772311876, 99.30263588529998]",99.06095012713679,2.033092600002419,None
reward-effort-pgACC-TUS,R88533/RE002,A_2,2,2024-07-18_16h12.23.731,2024-07-18 16:15:54,None,None,1,,,2.020314534505208,1,9,approach,shifted,heart,None,55,20,20,reject,1.5149585999897681,None,0,516,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_2,2,2024-07-18_16h12.23.731,2024-07-18 16:15:54,None,None,1,,,2.020314534505208,1,10,approach,shifted,heart,None,75,60,67,accept,2.035016000008909,success,67,583,"[0.9818483925379524, 1.02716447219355, 0.9969537524231517, 0.9969537524231517, 0.9969537524231517, 1.0120591123083509, 1.02716447219355, 1.02716447219355, 1.0422698320787496, 1.072480551849148, 1.072480551849148, 1.072480551849148, 1.0573751919639487, 1.072480551849148, 1.0573751919639487, 1.0573751919639487, 1.1177966315047458, 1.4652199088643287, 2.598121900254274, 2.598121900254274, 4.576924045215378, 6.37446187155409, 10.951385916769468, 10.951385916769468, 14.470934770020898, 18.655119458221094, 23.941995418040836, 23.941995418040836, 29.19866065809018, 31.993152236852048, 35.51270109010348, 35.51270109010348, 39.0624606631253, 43.45812038971829, 47.3553032400997, 47.3553032400997, 49.84768762115758, 53.95634550993178, 56.87167996777524, 56.87167996777524, 57.52121044283881, 58.986430351703135, 60.27038594194507, 60.27038594194507, 60.874600337353044, 61.47881473276102, 62.64192744392136, 62.64192744392136, 63.56335439691851, 63.850356234737305, 64.33372775106368, 64.62072958888247, 64.62072958888247, 64.31862239117848, 64.06183127313008, 65.34578686337203, 65.34578686337203, 65.84426373958361, 66.0859494977468, 67.41522116764432, 67.41522116764432, 68.94086251604945, 72.00725057274491, 73.32141688275723, 73.32141688275723, 73.77457767931323, 74.92258503058837, 75.85911734347071, 75.85911734347071, 77.18838901336825, 79.45419299614814, 80.66262178696408, 80.66262178696408, 81.25173082248686, 81.94657737720603, 82.00699881674683, 82.11273633594321, 82.11273633594321, 82.83779361043278, 83.35137584652955, 82.85289897031798, 82.85289897031798, 83.39669192618516, 83.84985272274113, 83.72900984365954, 83.72900984365954, 83.94048488205232, 85.33017799149066, 85.88907630724303, 85.88907630724303, 85.94949774678383, 85.82865486770224, 86.84071398001059, 86.84071398001059, 88.00382669117093, 88.00382669117093, 88.27572316910451, 88.27572316910451, 88.6835678860049, 88.6684625261197, 88.71377860577529, 88.71377860577529, 89.27267692152768, 89.84668059716525, 89.74094307796885, 89.74094307796885, 89.62010019888726, 89.69562699831324, 90.04305027567283, 90.45089499257321, 90.45089499257321, 90.58684323154, 90.40557891291762, 90.58684323154, 90.58684323154, 90.8587397094736, 90.36026283326201, 89.83157523728003, 89.83157523728003, 90.04305027567283, 90.08836635532843, 89.45394124015006, 89.45394124015006, 88.95546436393849, 88.95546436393849, 88.87993756451249, 88.87993756451249, 88.36635532841571, 88.44188212784171, 88.62314644646409, 88.62314644646409]",87.07100881104721,2.1828589999931864,None
