expName,curec_ID,trial_schedule,session_nr,date,start_time,end_time,duration,participant,age,gender,max_strength,block_number,trial_count,block_action_type,block_global_effort_state,block_attention_focus,trial_rating,trial_effort,trial_outcome_level,trial_actual_outcome,response,response_time,result,points,cumulative_points,effort_trace,effort_expended,effort_response_time,final_bonus_payment
reward-effort-pgACC-TUS,R88533/RE002,A_7,1,2024-08-01_11h37.31.106,2024-08-01 11:38:50,None,None,5,,,3.3819305419921877,1,1,avoid,normal,reward,None,65,-80,-87,accept,1.6671320000023115,success,0,0,"[0.4511857612992706, 0.43313833084729975, 0.42411461562131436, 0.40606718516934354, 0.42411461562131436, 0.42411461562131436, 0.44216204607328513, 0.44216204607328513, 0.43313833084729975, 0.43313833084729975, 0.43313833084729975, 0.44216204607328513, 0.44216204607328513, 0.42411461562131436, 0.42411461562131436, 0.4150909003953289, 0.3880197547173727, 0.3880197547173727, 0.3880197547173727, 0.3880197547173727, 0.42411461562131436, 0.9565138139544537, 3.131229183416938, 7.88672710751125, 15.150817864429506, 29.08343417335098, 40.92254854984384, 53.49258385964152, 64.37518442217993, 64.37518442217993, 73.52523166132914, 79.81476117384096, 81.97142911285148, 86.20355155383864, 87.62929855954434, 88.73921553234054, 89.8220613594588, 88.42338549943105, 85.76138950776536, 85.76138950776536, 81.69169394084594, 79.96816433268272, 77.5046900759887, 73.88618027036856, 71.89193920542579, 69.19384835285614, 66.5589235068684, 66.5589235068684, 64.10447296540036, 62.94943741647423, 62.46215679427102, 61.65904613915831, 60.78374576223773, 60.78374576223773, 59.86332680918722, 60.01672996802897, 60.05282482893291, 60.32353628571248, 61.388334682378755, 61.388334682378755, 62.1643741918135, 62.11925561568358, 63.301362310287665, 65.99042944763131, 67.68688791011658, 67.68688791011658, 69.78038984254519, 70.71885622604768, 70.70983251082168, 72.23484038401322, 73.1733067675157, 73.1733067675157, 72.97478503254402, 72.91161902596212, 72.95673760209206, 72.8665004498322, 72.97478503254402, 72.97478503254402, 72.19874552310928, 69.49163095531365, 69.49163095531365, 66.18895118260299, 64.05033067404446, 62.913342555570296, 62.29972992020328, 61.983899887293795, 61.64099870870635, 61.54173784122051, 61.794401867548096, 62.2907062049773, 62.2907062049773, 62.53434651607891, 63.91497494565467, 65.74678913652971, 66.81158753319599, 67.57860332740475, 69.02239776356241, 69.78038984254519, 69.74429498164125, 70.9444491066973, 70.9444491066973, 72.22581666878723, 72.57774156260066, 71.65732260955015, 70.69178508036971, 71.51294316593439, 71.51294316593439, 71.63927517909818, 70.93542539147131, 70.88128310011541, 71.4407534441265, 70.83616452398547, 70.1413384515846, 70.13231473635862, 70.16840959726255, 71.133947126443, 72.58676527782664, 72.58676527782664, 73.12818819138577, 72.71309729099045, 72.2528878144652, 72.28898267536913, 72.87552416505818, 73.01087989344796, 72.88454788028417, 73.76887197243074, 73.94032256172447, 72.71309729099045, 70.9444491066973, 70.9444491066973, 71.03468625895715, 70.90835424579338, 70.16840959726255, 69.72624755118927, 69.59089182279949, 69.53674953144359, 69.2209194985341, 69.0855637701443, 69.0855637701443, 68.76973373723483, 68.76071002200884, 69.38334637260184]",70.0517697226748,2.6808617999922717,None
reward-effort-pgACC-TUS,R88533/RE002,A_7,1,2024-08-01_11h37.31.106,2024-08-01 11:38:50,None,None,5,,,3.3819305419921877,1,2,avoid,normal,reward,None,85,-60,-59,accept,1.204684600001201,success,0,0,"[0.460209476525256, 0.4511857612992706, 0.4963043374291976, 0.4963043374291976, 0.4963043374291976, 0.4872806222032122, 0.47825690697722684, 0.4872806222032122, 0.4872806222032122, 0.460209476525256, 0.460209476525256, 0.460209476525256, 0.4963043374291976, 0.6948260724008768, 1.8137667604230678, 1.8137667604230678, 2.562735124179857, 3.2304900509027776, 5.233754831071539, 5.233754831071539, 7.823561100929352, 8.545458319008185, 10.783339695052566, 10.783339695052566, 14.446968076802644, 20.89892446338221, 31.51081356914106, 31.51081356914106, 43.33188051518195, 49.738718325631595, 57.24644939365145, 57.24644939365145, 61.61392756302839, 67.1093701356535, 70.19548074294052, 73.29061506545351, 73.29061506545351, 76.83693514926578, 79.37259912776769, 81.28562675567659, 81.28562675567659, 82.95501407248389, 83.66788757533674, 84.53416423703133, 85.52677291188974, 85.52677291188974, 86.2847649908725, 87.5300376920585, 88.85652383027835, 88.85652383027835, 90.43567399482579, 92.44796249022055, 94.36099011812945, 95.49797823660361, 95.49797823660361, 96.90567781185734, 98.51189912208274, 100.0820255714042, 100.0820255714042, 100.74978049812712, 101.8145788947934, 101.51679629233587, 101.51679629233587, 100.49711647179953, 100.44297418044361, 100.24445244547194, 99.9015512668845, 99.9015512668845, 99.26086748583953, 98.81870543976625, 99.01722717473793, 99.01722717473793, 98.972108598608, 98.69237342660246, 97.726835897422, 97.3658872883826, 97.3658872883826, 97.44710072541646, 97.41100586451252, 97.42905329496449, 97.42905329496449, 97.16736555341092, 96.90567781185734, 96.94177267276129, 96.35523118307223, 96.35523118307223, 96.00330628925879, 94.54146442264916, 94.3248952572255, 94.3248952572255, 94.22563438973967, 93.60299803914668, 92.44796249022055, 92.44796249022055, 91.33804551742433, 89.76791906810287, 89.35282816770754, 89.37989931338551, 89.37989931338551, 88.98285584344214, 89.19040129363981]",94.2855984328543,1.6753217000077711,None
reward-effort-pgACC-TUS,R88533/RE002,A_7,1,2024-08-01_11h37.31.106,2024-08-01 11:38:50,None,None,5,,,3.3819305419921877,1,3,avoid,normal,reward,None,70,-20,-17,accept,1.4846653999993578,success,0,0,"[0.4150909003953289, 0.4150909003953289, 0.4150909003953289, 0.4150909003953289, 0.44216204607328513, 0.44216204607328513, 0.44216204607328513, 0.42411461562131436, 0.4150909003953289, 0.43313833084729975, 0.43313833084729975, 0.4511857612992706, 0.46923319175124145, 0.76701579420876, 0.76701579420876, 1.7957193299710972, 2.6619959916656963, 3.356822064066573, 3.356822064066573, 4.800616500224239, 5.730059168500737, 6.6143832606473065, 6.6143832606473065, 8.148414849064826, 11.117217158414029, 18.083525312874766, 18.083525312874766, 24.788145725781927, 32.0432127674742, 38.68466717379946, 38.68466717379946, 43.512354819701656, 47.42864722777932, 49.549220305885896, 49.549220305885896, 53.97084076661874, 60.161109411644745, 63.16600658189788, 63.16600658189788, 66.25211718918489, 69.32018036601994, 69.87965071003103, 69.87965071003103, 70.61057164333585, 71.3866111527706, 72.64993128440855, 72.64993128440855, 73.72375339630082, 76.32258338138462, 79.17407739279601, 79.17407739279601, 80.74420384211747, 80.82541727915134, 81.06905759025294, 82.38652001324681, 82.38652001324681, 84.82292312426287, 86.82618790443163, 87.29542109618288, 87.29542109618288, 86.19452783861266, 83.83933816463046, 83.73105358191863, 83.73105358191863, 83.64984014488476, 82.80161091364214, 82.72039747660827, 82.72039747660827, 82.92794292680593, 83.01818007906579, 82.72039747660827, 82.72039747660827, 82.1428797021452, 82.30530657621294, 83.3249863967493, 83.3249863967493, 83.65886386011076, 82.63016032434841, 83.505460701269, 83.505460701269, 85.7974843686693, 86.99763849372536, 87.7827017183861, 87.7827017183861, 88.05341317516564, 87.5300376920585, 87.4668716854766, 87.2863973809569, 87.2863973809569, 87.41272939412067, 87.5210139768325, 87.03373335462929, 87.03373335462929, 85.2380140246582, 83.54155556217295, 82.15190341737119, 82.15190341737119, 81.98947654330345, 81.56536192768213, 81.31269790135455, 81.12319988160885, 81.12319988160885]",82.23835643098792,1.6929945000010775,None
reward-effort-pgACC-TUS,R88533/RE002,A_7,1,2024-08-01_11h37.31.106,2024-08-01 11:38:50,None,None,5,,,3.3819305419921877,1,4,avoid,normal,reward,None,95,-60,-62,accept,0.9853814999951283,success,0,0,"[0.3699723242654019, 0.35192489381343106, 0.3880197547173727, 0.3880197547173727, 0.3789960394913873, 0.36094860903941645, 0.36094860903941645, 0.36094860903941645, 0.3789960394913873, 0.39704346994335815, 0.39704346994335815, 0.3699723242654019, 0.36094860903941645, 0.3429011785874457, 0.36094860903941645, 0.36094860903941645, 0.36094860903941645, 0.33387746336146024, 0.35192489381343106, 0.35192489381343106, 0.3429011785874457, 0.3880197547173727, 0.39704346994335815, 0.39704346994335815, 0.4511857612992706, 0.5865414896890517, 0.7309209333048183, 0.7309209333048183, 0.9565138139544537, 1.1640592641521181, 1.687434747259272, 1.687434747259272, 3.086110607287011, 4.638189626156501, 7.868679677059279, 13.995782315503375, 13.995782315503375, 20.411643841179, 27.76597175035711, 34.84958820275566, 40.74207424532413, 40.74207424532413, 48.89048909438896, 57.219378247973495, 63.184054012349854, 63.184054012349854, 69.94281671661294, 74.69831464070724, 80.55470582237177, 83.02720379429176, 86.81716418920564, 86.81716418920564, 88.0263420294877, 89.40697045906346, 91.82532613962755, 91.82532613962755, 93.9007806416042, 94.81217587942872, 95.04679247530434, 95.876974276095, 95.876974276095, 96.99591496411719, 97.14931812295895, 97.62757502993618, 97.87121534103778, 97.87121534103778, 98.26825881098114, 99.63083981010493, 100.65954334586726, 100.65954334586726, 100.94830223309881, 100.98439709400276, 101.11975282239251, 101.0836579614886, 101.0836579614886, 101.16487139852246, 101.57996229891776, 101.69727059685559, 101.69727059685559, 101.67019945117764, 101.54386743801385, 101.55289115323983, 101.3272982725902, 101.3272982725902, 100.38883188908771, 99.45036550558522, 99.17965404880566, 98.51189912208274, 98.51189912208274, 98.00657106942757, 98.03364221510552, 97.47417187109441, 97.15834183818492, 97.15834183818492, 97.07712840115106, 97.06810468592508, 97.14931812295895, 97.14931812295895, 96.86958295095339, 96.58082406372186, 96.61691892462581, 97.26662642089676, 97.59148016903222, 97.59148016903222, 98.0426659303315, 97.88023905626376, 97.88023905626376, 97.58245645380624, 98.0426659303315, 98.58408884389063, 98.52994655253471, 98.52994655253471, 98.46678054595282, 98.67432599615049, 98.85480030067019, 98.85480030067019]",98.37799883163264,1.9287123999965843,None
reward-effort-pgACC-TUS,R88533/RE002,A_7,1,2024-08-01_11h37.31.106,2024-08-01 11:38:50,None,None,5,,,3.3819305419921877,1,5,avoid,normal,reward,0.496,100,-80,-88,accept,1.4598203000059584,success,0,0,"[0.46923319175124145, 0.44216204607328513, 0.43313833084729975, 0.43313833084729975, 0.43313833084729975, 0.42411461562131436, 0.42411461562131436, 0.42411461562131436, 0.44216204607328513, 0.43313833084729975, 0.4511857612992706, 0.460209476525256, 0.47825690697722684, 0.47825690697722684, 0.6226363505929934, 0.9565138139544537, 2.1566679390105135, 3.3297509183886165, 6.848999856522927, 10.575794244854903, 20.149956099625424, 20.149956099625424, 29.850449967559744, 41.00376198687771, 48.060307293598306, 57.742753731080654, 62.317777350655255, 68.42683255864738, 73.03795103912593, 75.96163477234519, 78.74996277717469, 78.74996277717469, 80.56372953759777, 81.90826310626959, 83.9385990321163, 86.62766616945994, 87.84586772496799, 88.32412463194521, 89.10016414137996, 90.5620060079896, 91.95165815279135, 93.0886462712655, 94.13539723747981, 94.45122727038931, 95.23629049505004, 96.32816003739427, 96.32816003739427, 97.05005725547309, 97.3027212818007, 97.53733787767631, 98.07876079123544, 98.94503745293004, 100.18128643889004, 100.6956382067712, 100.6956382067712, 100.65051963064128, 101.16487139852246, 102.13040892770289, 102.50940496719427, 102.53647611287224, 102.89742472191166, 103.70955909225034, 104.01636540993384, 104.42243259510317, 104.77435748891662, 104.82849978027254, 104.88264207162845, 104.63900176052682, 104.63900176052682, 105.18042467408597, 105.46015984609151, 105.51430213744742, 105.59551557448128, 105.66770529628917, 106.11889105758846, 106.16400963371836, 106.87688313657122, 107.04833372586494, 107.29197403696655, 107.80632580484773, 108.66357875131634, 108.41091472498874, 108.26653528137298, 108.65455503609034, 108.7447921883502, 108.7447921883502, 108.3116538575029, 108.239464135695, 108.75381590357618, 108.7989344797061, 108.73576847312421, 108.7447921883502, 108.82600562538407, 109.00647992990378, 108.62748389041239, 108.19434555956508, 108.19434555956508]",104.54382710370935,1.8794673000084003,None
reward-effort-pgACC-TUS,R88533/RE002,A_7,1,2024-08-01_11h37.31.106,2024-08-01 11:38:50,None,None,5,,,3.3819305419921877,1,6,avoid,normal,reward,None,65,-20,-19,accept,2.11497120000422,success,0,0,"[0.30680631768350397, 0.30680631768350397, 0.3429011785874457, 0.3429011785874457, 0.32485374813547485, 0.32485374813547485, 0.3429011785874457, 0.3429011785874457, 0.35192489381343106, 0.32485374813547485, 0.3429011785874457, 0.3429011785874457, 0.3158300329094894, 0.3429011785874457, 0.33387746336146024, 0.33387746336146024, 0.43313833084729975, 0.5955652049150372, 1.0557746814402933, 1.0557746814402933, 1.7957193299710972, 3.456082931552413, 8.040130266353001, 11.893256667848773, 11.893256667848773, 18.931754544117393, 24.46329197764645, 24.46329197764645, 28.939054729735215, 33.66748150815157, 35.67977000354632, 37.692058498941066, 37.692058498941066, 39.91189244453348, 41.915157224702234, 45.18174213650896, 45.18174213650896, 48.836346803033045, 52.79775778724064, 54.052054203652624, 56.15457985130722, 56.15457985130722, 60.11599083551481, 62.18242162226547, 66.36040177189672, 66.36040177189672, 68.52609342613322, 71.55806174206431, 73.84106169423863, 73.84106169423863, 74.51784033618753, 73.89520398559453, 72.56871784737469, 70.96249653714928, 70.96249653714928, 70.80006966308154, 72.42433840375891, 72.42433840375891, 71.4407534441265, 68.61633057839308, 66.63111322867627, 64.1405678263043, 64.1405678263043, 62.88627140989234, 62.606536237886786, 64.48346900489176, 64.48346900489176, 66.45063892415656, 66.14383260647307, 64.83539389870518, 64.83539389870518, 62.82310540331044, 62.1643741918135, 64.68199073986342, 64.68199073986342, 67.416176453337, 69.36529894214985, 70.69178508036971, 70.69178508036971, 72.73114472144242, 73.66961110494489, 73.70570596584885, 73.70570596584885, 73.07404590002986, 73.25452020454958, 74.88781266045294, 74.88781266045294, 78.19951614838958, 78.01904184386987, 76.67450827519804, 76.67450827519804, 75.85335018963337, 75.71799446124359, 74.96000238226081, 74.96000238226081, 74.07567829011424, 73.68765853539688, 74.01251228353235, 74.08470200534023, 73.2996387806795, 73.2996387806795, 72.90259531073615, 72.63188385395658, 72.63188385395658, 72.35214868195104]",70.6353140883103,1.7362212000007275,None
reward-effort-pgACC-TUS,R88533/RE002,A_7,1,2024-08-01_11h37.31.106,2024-08-01 11:38:50,None,None,5,,,3.3819305419921877,1,7,avoid,normal,reward,None,50,-80,-93,accept,1.240465700000641,success,0,0,"[0.7399446485308038, 0.7579920789827747, 0.7399446485308038, 0.7399446485308038, 0.7218972180788329, 0.7399446485308038, 0.7489683637567892, 0.7309209333048183, 0.7579920789827747, 0.7579920789827747, 0.76701579420876, 0.7940869398867163, 0.8482292312426287, 1.1279644032481764, 1.5520790188694908, 1.5520790188694908, 1.994241064942776, 2.8785651570893465, 3.7719129644619023, 4.836711361128181, 7.092640167624534, 8.527410888556213, 8.527410888556213, 10.485557092595048, 14.880106407649944, 18.218881041264545, 22.739762369483238, 27.26064369770193, 27.26064369770193, 30.274564583181057, 33.87502695834924, 35.779030871032155, 38.991473491482964, 44.035730302808815, 47.275244068937575, 49.95528749105524, 49.95528749105524, 54.44909767359597, 55.80265495749379, 55.540967215940206, 54.295694514754224, 53.645987018483275, 54.530311110629846, 55.513896070262255, 55.60413322252211, 55.47780120935831, 55.14392374599685, 54.78297513695743, 55.15294746122284, 55.910939540205604, 58.8887655647808, 61.361263536700804, 61.361263536700804, 64.07740181972241, 67.01010926816767, 67.8583384994103, 67.92150450599219, 67.26277329449526, 67.2988681553992, 67.51543732082284, 67.51543732082284, 67.52446103604883, 66.7393978113881, 65.04293934890285, 62.68774967492065, 61.045433503791315, 61.045433503791315, 58.988026432266636, 57.44497112862314, 55.8567972488497, 55.38756405709846, 54.84614114353933, 54.42202652791802, 54.03400677320065, 54.03400677320065, 53.9979119122967, 54.22350479294634, 55.16197117644882, 57.21035453274751, 58.50074581006343, 59.17752445201233, 60.86495919927161, 60.78374576223773, 60.78374576223773, 59.53847306105175, 59.23166674336824, 58.86169441910284, 57.95029918127832, 57.38180512204123]",58.82593376987397,1.68458690000989,None
reward-effort-pgACC-TUS,R88533/RE002,A_7,1,2024-08-01_11h37.31.106,2024-08-01 11:38:50,None,None,5,,,3.3819305419921877,1,8,avoid,normal,reward,None,85,-40,-32,accept,0.6902248999977019,success,0,0,"[0.658731211496935, 0.6767786419489058, 0.6406837810449643, 0.6406837810449643, 0.6316600658189788, 0.6406837810449643, 0.6858023571748914, 0.6767786419489058, 0.6767786419489058, 0.6497074962709497, 0.658731211496935, 0.6858023571748914, 0.6858023571748914, 0.658731211496935, 0.6677549267229205, 0.6767786419489058, 0.6767786419489058, 0.6767786419489058, 0.6948260724008768, 0.6948260724008768, 0.6948260724008768, 0.7038497876268621, 0.7128735028528476, 0.7309209333048183, 0.7309209333048183, 0.7399446485308038, 1.136988118474162, 3.38389320974453, 3.38389320974453, 8.184509709968768, 17.776718995191263, 27.720853174227184, 35.950481460325875, 35.950481460325875, 42.11367895967392, 48.159568161084145, 50.198927802156845, 50.198927802156845, 52.91506608517845, 55.044662878511005, 58.46465094915948, 61.47857183463861, 65.22341365342255, 65.22341365342255, 68.63437800884505, 72.29800639059512, 74.82464665387103, 74.82464665387103, 77.47761893031074, 79.5440497170614, 81.09612873593089, 82.38652001324681, 82.38652001324681, 84.01981246915017, 85.35532232259601, 85.6170100641496, 87.214207659149, 87.214207659149, 88.18876890355543, 89.10918785660594, 89.64158705493908, 89.64158705493908, 89.84913250513674, 90.44469771005178, 90.96807319315894, 90.96807319315894, 91.52754353717003, 92.42991505976858, 93.43154744985296, 93.32326286714114, 93.32326286714114, 93.06157512558755, 92.12310874208507, 91.96068186801733, 91.96068186801733, 91.7350889873677, 92.44796249022055, 91.74411270259368, 91.74411270259368, 91.64485183510784, 92.83598224493792, 92.29455933137879, 90.43567399482579, 90.43567399482579, 89.8762036508147, 90.13789139236827, 90.39957913392186, 90.39957913392186, 90.04765424010841, 89.85815622036273, 89.1994250088658, 89.1994250088658, 88.66702581053265, 88.74823924756653, 88.64897838008069, 88.64897838008069, 89.51525504177529, 89.53330247222726, 89.53330247222726, 89.83108507468476, 89.83108507468476, 89.47916018087135, 88.95578469776419, 88.94676098253821, 88.94676098253821, 89.19040129363981, 89.46111275041937, 89.51525504177529, 89.51525504177529, 89.2625910154477, 89.22649615454375]",89.62516685182294,1.8500334000127623,None
reward-effort-pgACC-TUS,R88533/RE002,A_7,1,2024-08-01_11h37.31.106,2024-08-01 11:38:50,None,None,5,,,3.3819305419921877,1,9,avoid,normal,reward,None,55,-20,-22,accept,1.3130766999966,success,0,0,"[0.44216204607328513, 0.44216204607328513, 0.44216204607328513, 0.47825690697722684, 0.4511857612992706, 0.46923319175124145, 0.47825690697722684, 0.47825690697722684, 0.5323991983331393, 0.6045889201410226, 0.6045889201410226, 0.6858023571748914, 0.8753003769205849, 0.9474900987284682, 1.073822111892264, 1.073822111892264, 1.2903912773159139, 1.5069604427395638, 1.7596244690671552, 1.7596244690671552, 2.165691654236499, 2.409331965338105, 2.932707448445259, 2.932707448445259, 3.6004623751681795, 5.423252850817232, 8.00403540544906, 8.00403540544906, 10.638960251436801, 14.880106407649944, 20.86282960247827, 20.86282960247827, 25.988299850837986, 31.501789853915074, 34.723256189591865, 34.723256189591865, 37.10551700925201, 40.498433934222525, 43.900374574419025, 43.900374574419025, 45.623904182582244, 48.231757882892026, 49.170224266394506, 49.170224266394506, 51.51639022515072, 51.96757598644999, 51.75100682102634, 51.75100682102634, 50.604994987326194, 51.82319654283422, 53.83548503822897, 55.36951662664649, 55.36951662664649, 57.49911341997904, 58.92486042568474, 60.9281252058535, 60.9281252058535, 61.677093569610285, 63.24722001893175, 64.99782077277291, 64.99782077277291, 67.19960728791337, 68.25538196935366, 68.80582859813876, 69.53674953144359, 69.53674953144359, 69.60893925325146, 68.69754401542694, 68.09295509528592, 66.6762318048062, 66.6762318048062, 64.86246504438314, 63.156982866671896, 62.85017654898839, 62.85017654898839, 63.05772199918606, 62.38094335723715, 61.93878131116387, 61.93878131116387, 61.65002242393234, 61.532714125994524, 61.532714125994524, 61.532714125994524, 61.63197499348036, 61.64099870870635, 61.37931096715277, 61.37931096715277, 61.65002242393234, 61.794401867548096, 61.39735839760474, 61.41540582805671, 61.41540582805671, 61.80342558277408, 61.677093569610285, 61.03640978856533, 61.03640978856533, 59.91746910054313, 59.28580903472416, 57.87810945947043, 57.87810945947043, 56.17262728175919, 55.15294746122284, 54.08814906455655, 54.08814906455655, 51.90440997986809, 49.982358636733196, 49.55824402111188, 49.55824402111188, 49.81993176266546, 51.011062172495535, 52.04878942348385, 52.04878942348385, 53.40234670738167, 53.78134274687305, 54.891259719669264, 56.163603566533205, 56.163603566533205, 57.986394042182255, 60.549129166362114, 61.83952044367803, 61.83952044367803, 63.328433455965616, 65.15122393161468, 67.51543732082284, 67.51543732082284, 68.8509471742687, 70.05110129932474, 69.53674953144359, 69.50065467053965, 69.50065467053965, 69.61796296847746, 69.36529894214985, 68.32757169116154, 68.32757169116154, 68.07490766483394, 67.96662308212213, 68.2914768302576, 68.2914768302576, 68.27342939980564, 68.21026339322373, 68.4087851281954, 68.661449154523, 68.661449154523, 69.27506178989, 69.05849262446637, 69.23896692898607, 69.23896692898607, 69.42846494873176, 69.45553609440972, 69.41041751827979, 69.41041751827979, 68.73363887633089, 68.09295509528592, 67.96662308212213, 67.76810134715045, 67.76810134715045, 67.06425155952358, 66.87475353977788, 66.82061124842198, 66.82061124842198, 66.77549267229205, 66.15285632169905, 65.34974566658636, 65.27755594477847, 65.27755594477847, 65.6926468451738, 66.01750059330928, 65.73776542130373, 65.73776542130373, 66.15285632169905, 65.99042944763131, 65.04293934890285, 65.04293934890285, 65.45803024929818]",66.13189801536774,2.8925601999944774,None
reward-effort-pgACC-TUS,R88533/RE002,A_7,1,2024-08-01_11h37.31.106,2024-08-01 11:38:50,None,None,5,,,3.3819305419921877,1,10,avoid,normal,reward,0.016,50,-20,-21,accept,1.076919099999941,success,0,0,"[2.2649525217223383, 2.2649525217223383, 2.2649525217223383, 2.4634742566940173, 2.698090852569638, 2.752233143925551, 2.752233143925551, 2.941731163671244, 3.3026797727106607, 4.033600706015479, 4.033600706015479, 5.296920837653437, 8.184509709968768, 11.360857469515635, 19.42805888154659, 19.42805888154659, 25.979276135612, 33.92916924970515, 38.621501167217566, 38.621501167217566, 43.81013742215917, 48.46637447876765, 52.0848842843878, 52.0848842843878, 55.107828885092914, 58.11272605534605, 60.549129166362114, 61.68611728483627, 61.68611728483627, 63.40062317777351, 65.31365080568241, 66.22504604350694, 66.22504604350694, 66.7484215266141, 67.3620341619811, 68.05686023438197, 67.62372190353467, 67.62372190353467, 67.01913298339366, 65.62045712336591, 65.62045712336591, 63.67133463455307, 63.06674571441204, 63.38257574732153, 63.38257574732153, 63.10284057531599, 62.52532280085292, 62.1643741918135, 62.1643741918135, 62.200469052717445, 62.8411528337624, 63.88790379997672, 63.88790379997672, 64.78125160734926, 64.79929903780123, 64.1495915415303, 63.301362310287665, 63.301362310287665, 63.31038602551365, 63.21112515802781, 62.624583668338765, 62.624583668338765, 62.272658774525325, 61.68611728483627, 61.30712124534489, 60.45889201410226, 59.57456792195569, 59.57456792195569, 59.30385646517613, 59.294832749950146, 59.294832749950146, 59.89039795486518, 60.332560000938464, 60.738627186107806, 60.59424774249204, 60.59424774249204, 59.854303093961235, 59.042168723622545, 59.141429591108384, 59.141429591108384, 59.94454024622109, 60.34158371616445]",61.92428419489915,1.3531993000069633,None
