expName,curec_ID,trial_schedule,session_nr,date,start_time,end_time,duration,participant,age,gender,max_strength,block_number,trial_count,block_action_type,block_global_effort_state,block_attention_focus,trial_rating,trial_rating_time,trial_rating_random_start_pos,trial_effort,trial_outcome_level,trial_actual_outcome,response,response_time,result,points,cumulative_points,effort_trace,effort_expended,effort_response_time,final_bonus_payment
reward-effort-pgACC-TUS,R88533/RE002,training,0,2024-08-15_14h05.33.079,2024-08-15 14:06:42,None,None,999,,,3.632625,1,1,approach,shifted,heart,None,None,None,50,40,42,accept,136.6942145000212,success,42,42,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.0, 51.0, 58.0, 66.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 70.0, 71.0, 79.0, 86.0, 98.0, 115.0, 140.0, 169.0, 188.0, 201.0, 210.0, 222.0, 223.0, 224.0, 224.0, 224.0, 224.0, 224.0, 224.0, 224.0, 224.0, 224.0, 224.0, 224.0, 224.0, 223.0, 221.0, 220.0, 218.0, 214.0, 213.0, 211.0, 210.0, 208.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0]",177.7377049180328,2.7346041998825967,None
reward-effort-pgACC-TUS,R88533/RE002,training,0,2024-08-15_14h05.33.079,2024-08-15 14:06:42,None,None,999,,,3.632625,1,2,approach,shifted,heart,None,None,None,55,20,20,reject,150.79440109990537,None,0,42,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,training,0,2024-08-15_14h05.33.079,2024-08-15 14:06:42,None,None,999,,,3.632625,1,3,approach,shifted,heart,0.5,20.798941900022328,2,80,100,116,accept,160.66068989993073,success,116,158,"[207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0, 207.0]",207.0,1.0245378999970853,None
reward-effort-pgACC-TUS,R88533/RE002,training,0,2024-08-15_14h05.33.079,2024-08-15 14:06:42,None,None,999,,,3.632625,2,4,approach,shifted,reward,None,None,None,70,80,77,accept,226.88065529987216,failure,0,158,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,5.0032174999359995,None
reward-effort-pgACC-TUS,R88533/RE002,training,0,2024-08-15_14h05.33.079,2024-08-15 14:06:42,None,None,999,,,3.632625,2,5,approach,shifted,reward,None,None,None,50,40,40,reject,242.35730560007505,None,0,158,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,training,0,2024-08-15_14h05.33.079,2024-08-15 14:06:42,None,None,999,,,3.632625,2,6,approach,shifted,reward,0.7,4.4606657000258565,3,60,60,55,accept,251.92998929996975,success,55,213,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 16.0, 35.0, 54.0, 75.0, 96.0, 150.0, 206.0, 261.0, 363.0, 427.0, 479.0, 540.0, 540.0, 540.0, 540.0, 540.0, 540.0, 540.0, 540.0, 540.0, 540.0, 540.0, 540.0, 540.0, 540.0, 540.0, 540.0, 540.0, 540.0, 540.0, 540.0, 540.0, 539.0, 538.0, 534.0, 525.0, 516.0, 503.0, 485.0, 462.0, 436.0, 393.0, 364.0, 348.0, 321.0, 303.0, 293.0, 291.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]",408.0,2.765845000045374,None
reward-effort-pgACC-TUS,R88533/RE002,training,0,2024-08-15_14h05.33.079,2024-08-15 14:06:42,None,None,999,,,3.632625,3,7,avoid,shifted,heart,None,None,None,90,-20,-14,accept,281.9851319999434,success,0,213,"[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]",290.0,1.0193957998417318,None
reward-effort-pgACC-TUS,R88533/RE002,training,0,2024-08-15_14h05.33.079,2024-08-15 14:06:42,None,None,999,,,3.632625,3,8,avoid,shifted,heart,None,None,None,85,-60,-60,reject,292.67554540000856,None,-60,153,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,training,0,2024-08-15_14h05.33.079,2024-08-15 14:06:42,None,None,999,,,3.632625,3,9,avoid,shifted,heart,0.8,2.6177012999542058,8,75,-40,-42,reject,302.48676809994504,None,-42,111,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,training,0,2024-08-15_14h05.33.079,2024-08-15 14:06:42,None,None,999,,,3.632625,4,10,avoid,shifted,reward,None,None,None,100,-100,-98,accept,323.6296769999899,success,0,111,"[290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]",290.0,1.0349878000561148,None
reward-effort-pgACC-TUS,R88533/RE002,training,0,2024-08-15_14h05.33.079,2024-08-15 14:06:42,None,None,999,,,3.632625,4,11,avoid,shifted,reward,None,None,None,95,-80,-85,reject,334.2480748000089,None,-85,26,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,training,0,2024-08-15_14h05.33.079,2024-08-15 14:06:42,2024-08-15 14:11:19,0:04:36.766445,999,,,3.632625,4,12,avoid,shifted,reward,0.4,1.0179655998945236,4,55,-20,-17,reject,344.42788139986806,None,-17,9,"null",None,None,None
