trial_number,outcome,effort,action_type,effort_state,attention_focus
1,100,85,approach,true,outome
2,100,70,approach,true,outome
3,100,90,approach,true,outome
4,100,85,approach,true,outome
5,40,65,approach,true,outome
6,100,90,approach,true,outome
7,20,50,approach,true,outome
8,40,95,approach,true,outome
9,80,75,approach,true,outome
10,40,60,approach,true,outome
11,40,55,approach,true,outome
12,20,50,approach,true,outome
13,60,95,approach,true,outome
14,20,80,approach,true,outome
15,80,75,approach,true,outome
16,40,55,approach,true,outome
17,40,50,approach,true,outome
18,80,60,approach,true,outome
19,100,50,approach,true,outome
20,80,100,approach,true,outome
21,100,65,approach,true,outome
22,80,55,approach,true,outome
23,80,50,approach,true,outome
24,60,85,approach,true,outome
25,80,85,approach,true,outome
26,100,75,approach,true,outome
27,60,75,approach,true,outome
28,40,60,approach,true,outome
29,80,85,approach,true,outome
30,80,65,approach,true,outome
31,60,70,approach,true,outome
32,100,80,approach,true,outome
33,40,90,approach,true,outome
34,80,90,approach,true,outome
35,20,100,approach,true,outome
36,100,60,approach,true,outome
37,60,75,approach,true,outome
38,20,85,approach,true,outome
39,100,80,approach,true,outome
40,80,80,approach,true,outome
41,60,70,approach,true,outome
42,80,80,approach,true,outome
43,60,100,approach,true,outome
44,60,50,approach,true,outome
45,20,95,approach,true,outome
46,20,75,approach,true,outome
47,20,55,approach,true,outome
48,20,70,approach,true,outome
49,100,55,approach,true,outome
50,60,55,approach,true,outome
51,-20,65,avoid,true,outome
52,-40,80,avoid,true,outome
53,-100,55,avoid,true,outome
54,-80,85,avoid,true,outome
55,-40,80,avoid,true,outome
56,-60,95,avoid,true,outome
57,-60,95,avoid,true,outome
58,-20,60,avoid,true,outome
59,-60,90,avoid,true,outome
60,-20,95,avoid,true,outome
61,-80,60,avoid,true,outome
62,-60,55,avoid,true,outome
63,-40,100,avoid,true,outome
64,-80,75,avoid,true,outome
65,-40,95,avoid,true,outome
66,-20,50,avoid,true,outome
67,-20,60,avoid,true,outome
68,-20,75,avoid,true,outome
69,-40,85,avoid,true,outome
70,-80,80,avoid,true,outome
71,-20,55,avoid,true,outome
72,-20,65,avoid,true,outome
73,-60,75,avoid,true,outome
74,-80,100,avoid,true,outome
75,-100,75,avoid,true,outome
76,-40,75,avoid,true,outome
77,-40,90,avoid,true,outome
78,-60,90,avoid,true,outome
79,-20,55,avoid,true,outome
80,-60,85,avoid,true,outome
81,-100,100,avoid,true,outome
82,-80,100,avoid,true,outome
83,-40,65,avoid,true,outome
84,-20,70,avoid,true,outome
85,-20,80,avoid,true,outome
86,-60,100,avoid,true,outome
87,-60,50,avoid,true,outome
88,-100,90,avoid,true,outome
89,-80,70,avoid,true,outome
90,-20,90,avoid,true,outome
91,-80,90,avoid,true,outome
92,-100,65,avoid,true,outome
93,-60,85,avoid,true,outome
94,-100,85,avoid,true,outome
95,-100,70,avoid,true,outome
96,-20,50,avoid,true,outome
97,-80,55,avoid,true,outome
98,-40,60,avoid,true,outome
99,-40,85,avoid,true,outome
100,-60,100,avoid,true,outome
