outcome_level,actual_outcome,effort,action_type,trial_in_block,trial_order,attention_focus,global_effort_state,trial_in_experiment,block_number,schedule_version
40,32,50,approach,1,order1,heart,normal,1,1,schedule_A_1
80,91,95,approach,2,order1,heart,normal,2,1,schedule_A_1
60,58,90,approach,3,order1,heart,normal,3,1,schedule_A_1
20,19,65,approach,4,order1,heart,normal,4,1,schedule_A_1
100,95,50,approach,5,order1,heart,normal,5,1,schedule_A_1
80,94,70,approach,6,order1,heart,normal,6,1,schedule_A_1
80,82,85,approach,7,order1,heart,normal,7,1,schedule_A_1
60,71,70,approach,8,order1,heart,normal,8,1,schedule_A_1
80,91,55,approach,9,order1,heart,normal,9,1,schedule_A_1
80,87,75,approach,10,order1,heart,normal,10,1,schedule_A_1
100,114,90,approach,11,order1,heart,normal,11,1,schedule_A_1
40,40,60,approach,12,order1,heart,normal,12,1,schedule_A_1
100,85,55,approach,13,order1,heart,normal,13,1,schedule_A_1
40,42,60,approach,14,order1,heart,normal,14,1,schedule_A_1
20,18,50,approach,15,order1,heart,normal,15,1,schedule_A_1
40,34,95,approach,16,order1,heart,normal,16,1,schedule_A_1
80,74,80,approach,17,order1,heart,normal,17,1,schedule_A_1
60,67,75,approach,18,order1,heart,normal,18,1,schedule_A_1
80,72,85,approach,19,order1,heart,normal,19,1,schedule_A_1
20,20,90,approach,20,order1,heart,normal,20,1,schedule_A_1
40,38,70,approach,21,order1,heart,normal,21,1,schedule_A_1
40,39,55,approach,22,order1,heart,normal,22,1,schedule_A_1
100,119,60,approach,23,order1,heart,normal,23,1,schedule_A_1
80,98,80,approach,24,order1,heart,normal,24,1,schedule_A_1
80,97,65,approach,25,order1,heart,normal,25,1,schedule_A_1
20,21,55,approach,26,order1,heart,normal,26,1,schedule_A_1
40,35,75,approach,27,order1,heart,normal,27,1,schedule_A_1
60,60,65,approach,28,order1,heart,normal,28,1,schedule_A_1
80,77,90,approach,29,order1,heart,normal,29,1,schedule_A_1
80,59,50,approach,30,order1,heart,normal,30,1,schedule_A_1
20,23,80,approach,31,order1,heart,normal,31,1,schedule_A_1
40,41,50,approach,32,order1,heart,normal,32,1,schedule_A_1
20,20,55,approach,33,order1,heart,normal,33,1,schedule_A_1
80,81,100,approach,34,order1,heart,normal,34,1,schedule_A_1
100,98,90,approach,35,order1,heart,normal,35,1,schedule_A_1
40,34,65,approach,36,order1,heart,normal,36,1,schedule_A_1
100,91,95,approach,37,order1,heart,normal,37,1,schedule_A_1
60,62,65,approach,38,order1,heart,normal,38,1,schedule_A_1
100,83,80,approach,39,order1,heart,normal,39,1,schedule_A_1
20,16,85,approach,40,order1,heart,normal,40,1,schedule_A_1
100,101,85,approach,41,order1,heart,normal,41,1,schedule_A_1
40,41,90,approach,42,order1,heart,normal,42,1,schedule_A_1
40,36,55,approach,43,order1,heart,normal,43,1,schedule_A_1
40,43,80,approach,44,order1,heart,normal,44,1,schedule_A_1
80,86,75,approach,45,order1,heart,normal,45,1,schedule_A_1
100,104,75,approach,46,order1,heart,normal,46,1,schedule_A_1
60,67,75,approach,47,order1,heart,normal,47,1,schedule_A_1
100,98,85,approach,48,order1,heart,normal,48,1,schedule_A_1
100,98,65,approach,49,order1,heart,normal,49,1,schedule_A_1
60,65,70,approach,50,order1,heart,normal,50,1,schedule_A_1
80,77,90,approach,1,order2,heart,shifted,51,2,schedule_A_1
60,67,75,approach,2,order2,heart,shifted,52,2,schedule_A_1
100,104,75,approach,3,order2,heart,shifted,53,2,schedule_A_1
20,19,65,approach,4,order2,heart,shifted,54,2,schedule_A_1
100,98,90,approach,5,order2,heart,shifted,55,2,schedule_A_1
100,114,90,approach,6,order2,heart,shifted,56,2,schedule_A_1
40,40,60,approach,7,order2,heart,shifted,57,2,schedule_A_1
20,20,90,approach,8,order2,heart,shifted,58,2,schedule_A_1
80,91,95,approach,9,order2,heart,shifted,59,2,schedule_A_1
80,98,80,approach,10,order2,heart,shifted,60,2,schedule_A_1
80,82,85,approach,11,order2,heart,shifted,61,2,schedule_A_1
40,34,65,approach,12,order2,heart,shifted,62,2,schedule_A_1
80,86,75,approach,13,order2,heart,shifted,63,2,schedule_A_1
80,74,80,approach,14,order2,heart,shifted,64,2,schedule_A_1
100,85,55,approach,15,order2,heart,shifted,65,2,schedule_A_1
80,97,65,approach,16,order2,heart,shifted,66,2,schedule_A_1
40,38,70,approach,17,order2,heart,shifted,67,2,schedule_A_1
20,20,55,approach,18,order2,heart,shifted,68,2,schedule_A_1
40,34,95,approach,19,order2,heart,shifted,69,2,schedule_A_1
40,36,55,approach,20,order2,heart,shifted,70,2,schedule_A_1
60,58,90,approach,21,order2,heart,shifted,71,2,schedule_A_1
80,94,70,approach,22,order2,heart,shifted,72,2,schedule_A_1
60,62,65,approach,23,order2,heart,shifted,73,2,schedule_A_1
100,101,85,approach,24,order2,heart,shifted,74,2,schedule_A_1
40,42,60,approach,25,order2,heart,shifted,75,2,schedule_A_1
40,39,55,approach,26,order2,heart,shifted,76,2,schedule_A_1
40,43,80,approach,27,order2,heart,shifted,77,2,schedule_A_1
80,59,50,approach,28,order2,heart,shifted,78,2,schedule_A_1
40,35,75,approach,29,order2,heart,shifted,79,2,schedule_A_1
20,18,50,approach,30,order2,heart,shifted,80,2,schedule_A_1
60,60,65,approach,31,order2,heart,shifted,81,2,schedule_A_1
100,98,65,approach,32,order2,heart,shifted,82,2,schedule_A_1
20,23,80,approach,33,order2,heart,shifted,83,2,schedule_A_1
40,41,50,approach,34,order2,heart,shifted,84,2,schedule_A_1
100,119,60,approach,35,order2,heart,shifted,85,2,schedule_A_1
100,98,85,approach,36,order2,heart,shifted,86,2,schedule_A_1
40,41,90,approach,37,order2,heart,shifted,87,2,schedule_A_1
80,87,75,approach,38,order2,heart,shifted,88,2,schedule_A_1
80,72,85,approach,39,order2,heart,shifted,89,2,schedule_A_1
20,21,55,approach,40,order2,heart,shifted,90,2,schedule_A_1
20,16,85,approach,41,order2,heart,shifted,91,2,schedule_A_1
60,67,75,approach,42,order2,heart,shifted,92,2,schedule_A_1
60,65,70,approach,43,order2,heart,shifted,93,2,schedule_A_1
60,71,70,approach,44,order2,heart,shifted,94,2,schedule_A_1
80,81,100,approach,45,order2,heart,shifted,95,2,schedule_A_1
40,32,50,approach,46,order2,heart,shifted,96,2,schedule_A_1
100,95,50,approach,47,order2,heart,shifted,97,2,schedule_A_1
80,91,55,approach,48,order2,heart,shifted,98,2,schedule_A_1
100,91,95,approach,49,order2,heart,shifted,99,2,schedule_A_1
100,83,80,approach,50,order2,heart,shifted,100,2,schedule_A_1
40,32,50,approach,1,order1,reward,normal,101,3,schedule_A_1
80,91,95,approach,2,order1,reward,normal,102,3,schedule_A_1
60,58,90,approach,3,order1,reward,normal,103,3,schedule_A_1
20,19,65,approach,4,order1,reward,normal,104,3,schedule_A_1
100,95,50,approach,5,order1,reward,normal,105,3,schedule_A_1
80,94,70,approach,6,order1,reward,normal,106,3,schedule_A_1
80,82,85,approach,7,order1,reward,normal,107,3,schedule_A_1
60,71,70,approach,8,order1,reward,normal,108,3,schedule_A_1
80,91,55,approach,9,order1,reward,normal,109,3,schedule_A_1
80,87,75,approach,10,order1,reward,normal,110,3,schedule_A_1
100,114,90,approach,11,order1,reward,normal,111,3,schedule_A_1
