trial_in_block,outcome_level,actual_outcome,effort,action_type,trial_order,attention_focus,global_effort_state,block_number,trial_in_experiment,schedule_version
1,40,32,50,approach,order1,heart,normal,1,1,A_962
2,80,91,95,approach,order1,heart,normal,1,2,A_962
3,60,58,90,approach,order1,heart,normal,1,3,A_962
4,20,19,65,approach,order1,heart,normal,1,4,A_962
5,100,95,50,approach,order1,heart,normal,1,5,A_962
6,80,94,70,approach,order1,heart,normal,1,6,A_962
7,80,82,85,approach,order1,heart,normal,1,7,A_962
8,60,71,70,approach,order1,heart,normal,1,8,A_962
9,80,91,55,approach,order1,heart,normal,1,9,A_962
10,80,87,75,approach,order1,heart,normal,1,10,A_962
11,100,114,90,approach,order1,heart,normal,1,11,A_962
12,40,40,60,approach,order1,heart,normal,1,12,A_962
13,100,85,55,approach,order1,heart,normal,1,13,A_962
14,40,42,60,approach,order1,heart,normal,1,14,A_962
15,20,18,50,approach,order1,heart,normal,1,15,A_962
16,40,34,95,approach,order1,heart,normal,1,16,A_962
17,80,74,80,approach,order1,heart,normal,1,17,A_962
18,60,67,75,approach,order1,heart,normal,1,18,A_962
19,80,72,85,approach,order1,heart,normal,1,19,A_962
20,20,20,90,approach,order1,heart,normal,1,20,A_962
21,40,38,70,approach,order1,heart,normal,1,21,A_962
22,40,39,55,approach,order1,heart,normal,1,22,A_962
23,100,119,60,approach,order1,heart,normal,1,23,A_962
24,80,98,80,approach,order1,heart,normal,1,24,A_962
25,80,97,65,approach,order1,heart,normal,1,25,A_962
26,20,21,55,approach,order1,heart,normal,1,26,A_962
27,40,35,75,approach,order1,heart,normal,1,27,A_962
28,60,60,65,approach,order1,heart,normal,1,28,A_962
29,80,77,90,approach,order1,heart,normal,1,29,A_962
30,80,59,50,approach,order1,heart,normal,1,30,A_962
31,20,23,80,approach,order1,heart,normal,1,31,A_962
32,40,41,50,approach,order1,heart,normal,1,32,A_962
33,20,20,55,approach,order1,heart,normal,1,33,A_962
34,80,81,100,approach,order1,heart,normal,1,34,A_962
35,100,98,90,approach,order1,heart,normal,1,35,A_962
36,40,34,65,approach,order1,heart,normal,1,36,A_962
37,100,91,95,approach,order1,heart,normal,1,37,A_962
