outcome_level,actual_outcome,effort,action_type,trial_in_block,trial_order,attention_focus,global_effort_state,trial_in_experiment,block_number,schedule_version
40,38,80,approach,1,order1,heart,normal,1,1,schedule_B_1
60,56,65,approach,2,order1,heart,normal,2,1,schedule_B_1
60,63,100,approach,3,order1,heart,normal,3,1,schedule_B_1
80,80,85,approach,4,order1,heart,normal,4,1,schedule_B_1
40,37,95,approach,5,order1,heart,normal,5,1,schedule_B_1
40,41,55,approach,6,order1,heart,normal,6,1,schedule_B_1
60,53,75,approach,7,order1,heart,normal,7,1,schedule_B_1
20,21,50,approach,8,order1,heart,normal,8,1,schedule_B_1
20,20,50,approach,9,order1,heart,normal,9,1,schedule_B_1
40,40,60,approach,10,order1,heart,normal,10,1,schedule_B_1
40,44,85,approach,11,order1,heart,normal,11,1,schedule_B_1
20,20,70,approach,12,order1,heart,normal,12,1,schedule_B_1
80,62,80,approach,13,order1,heart,normal,13,1,schedule_B_1
100,101,70,approach,14,order1,heart,normal,14,1,schedule_B_1
80,77,85,approach,15,order1,heart,normal,15,1,schedule_B_1
80,79,75,approach,16,order1,heart,normal,16,1,schedule_B_1
60,63,50,approach,17,order1,heart,normal,17,1,schedule_B_1
80,72,75,approach,18,order1,heart,normal,18,1,schedule_B_1
100,84,85,approach,19,order1,heart,normal,19,1,schedule_B_1
80,70,70,approach,20,order1,heart,normal,20,1,schedule_B_1
60,55,85,approach,21,order1,heart,normal,21,1,schedule_B_1
80,72,100,approach,22,order1,heart,normal,22,1,schedule_B_1
80,82,95,approach,23,order1,heart,normal,23,1,schedule_B_1
100,88,90,approach,24,order1,heart,normal,24,1,schedule_B_1
80,66,60,approach,25,order1,heart,normal,25,1,schedule_B_1
40,42,100,approach,26,order1,heart,normal,26,1,schedule_B_1
60,56,95,approach,27,order1,heart,normal,27,1,schedule_B_1
60,49,70,approach,28,order1,heart,normal,28,1,schedule_B_1
20,19,75,approach,29,order1,heart,normal,29,1,schedule_B_1
100,105,80,approach,30,order1,heart,normal,30,1,schedule_B_1
100,77,100,approach,31,order1,heart,normal,31,1,schedule_B_1
60,68,80,approach,32,order1,heart,normal,32,1,schedule_B_1
20,19,55,approach,33,order1,heart,normal,33,1,schedule_B_1
60,56,75,approach,34,order1,heart,normal,34,1,schedule_B_1
40,36,55,approach,35,order1,heart,normal,35,1,schedule_B_1
100,98,60,approach,36,order1,heart,normal,36,1,schedule_B_1
100,102,80,approach,37,order1,heart,normal,37,1,schedule_B_1
40,51,70,approach,38,order1,heart,normal,38,1,schedule_B_1
40,27,90,approach,39,order1,heart,normal,39,1,schedule_B_1
20,22,90,approach,40,order1,heart,normal,40,1,schedule_B_1
80,75,80,approach,41,order1,heart,normal,41,1,schedule_B_1
20,19,100,approach,42,order1,heart,normal,42,1,schedule_B_1
40,44,75,approach,43,order1,heart,normal,43,1,schedule_B_1
60,73,65,approach,44,order1,heart,normal,44,1,schedule_B_1
80,88,50,approach,45,order1,heart,normal,45,1,schedule_B_1
100,93,85,approach,46,order1,heart,normal,46,1,schedule_B_1
40,37,65,approach,47,order1,heart,normal,47,1,schedule_B_1
100,98,90,approach,48,order1,heart,normal,48,1,schedule_B_1
60,49,70,approach,49,order1,heart,normal,49,1,schedule_B_1
20,20,60,approach,50,order1,heart,normal,50,1,schedule_B_1
20,19,75,approach,1,order2,heart,shifted,51,2,schedule_B_1
80,72,75,approach,2,order2,heart,shifted,52,2,schedule_B_1
100,93,85,approach,3,order2,heart,shifted,53,2,schedule_B_1
80,80,85,approach,4,order2,heart,shifted,54,2,schedule_B_1
40,36,55,approach,5,order2,heart,shifted,55,2,schedule_B_1
40,44,85,approach,6,order2,heart,shifted,56,2,schedule_B_1
20,20,70,approach,7,order2,heart,shifted,57,2,schedule_B_1
80,70,70,approach,8,order2,heart,shifted,58,2,schedule_B_1
60,56,65,approach,9,order2,heart,shifted,59,2,schedule_B_1
100,88,90,approach,10,order2,heart,shifted,60,2,schedule_B_1
60,53,75,approach,11,order2,heart,shifted,61,2,schedule_B_1
100,98,60,approach,12,order2,heart,shifted,62,2,schedule_B_1
80,88,50,approach,13,order2,heart,shifted,63,2,schedule_B_1
60,63,50,approach,14,order2,heart,shifted,64,2,schedule_B_1
80,62,80,approach,15,order2,heart,shifted,65,2,schedule_B_1
80,66,60,approach,16,order2,heart,shifted,66,2,schedule_B_1
60,55,85,approach,17,order2,heart,shifted,67,2,schedule_B_1
20,19,55,approach,18,order2,heart,shifted,68,2,schedule_B_1
80,79,75,approach,19,order2,heart,shifted,69,2,schedule_B_1
40,44,75,approach,20,order2,heart,shifted,70,2,schedule_B_1
60,63,100,approach,21,order2,heart,shifted,71,2,schedule_B_1
40,41,55,approach,22,order2,heart,shifted,72,2,schedule_B_1
40,51,70,approach,23,order2,heart,shifted,73,2,schedule_B_1
80,75,80,approach,24,order2,heart,shifted,74,2,schedule_B_1
100,101,70,approach,25,order2,heart,shifted,75,2,schedule_B_1
80,72,100,approach,26,order2,heart,shifted,76,2,schedule_B_1
60,73,65,approach,27,order2,heart,shifted,77,2,schedule_B_1
100,105,80,approach,28,order2,heart,shifted,78,2,schedule_B_1
60,56,95,approach,29,order2,heart,shifted,79,2,schedule_B_1
80,77,85,approach,30,order2,heart,shifted,80,2,schedule_B_1
60,49,70,approach,31,order2,heart,shifted,81,2,schedule_B_1
60,49,70,approach,32,order2,heart,shifted,82,2,schedule_B_1
100,77,100,approach,33,order2,heart,shifted,83,2,schedule_B_1
60,68,80,approach,34,order2,heart,shifted,84,2,schedule_B_1
80,82,95,approach,35,order2,heart,shifted,85,2,schedule_B_1
100,98,90,approach,36,order2,heart,shifted,86,2,schedule_B_1
20,19,100,approach,37,order2,heart,shifted,87,2,schedule_B_1
40,40,60,approach,38,order2,heart,shifted,88,2,schedule_B_1
100,84,85,approach,39,order2,heart,shifted,89,2,schedule_B_1
40,42,100,approach,40,order2,heart,shifted,90,2,schedule_B_1
20,22,90,approach,41,order2,heart,shifted,91,2,schedule_B_1
40,37,65,approach,42,order2,heart,shifted,92,2,schedule_B_1
20,20,60,approach,43,order2,heart,shifted,93,2,schedule_B_1
20,21,50,approach,44,order2,heart,shifted,94,2,schedule_B_1
60,56,75,approach,45,order2,heart,shifted,95,2,schedule_B_1
40,38,80,approach,46,order2,heart,shifted,96,2,schedule_B_1
40,37,95,approach,47,order2,heart,shifted,97,2,schedule_B_1
20,20,50,approach,48,order2,heart,shifted,98,2,schedule_B_1
100,102,80,approach,49,order2,heart,shifted,99,2,schedule_B_1
40,27,90,approach,50,order2,heart,shifted,100,2,schedule_B_1
40,38,80,approach,1,order1,reward,normal,101,3,schedule_B_1
60,56,65,approach,2,order1,reward,normal,102,3,schedule_B_1
60,63,100,approach,3,order1,reward,normal,103,3,schedule_B_1
80,80,85,approach,4,order1,reward,normal,104,3,schedule_B_1
40,37,95,approach,5,order1,reward,normal,105,3,schedule_B_1
40,41,55,approach,6,order1,reward,normal,106,3,schedule_B_1
60,53,75,approach,7,order1,reward,normal,107,3,schedule_B_1
20,21,50,approach,8,order1,reward,normal,108,3,schedule_B_1
20,20,50,approach,9,order1,reward,normal,109,3,schedule_B_1
40,40,60,approach,10,order1,reward,normal,110,3,schedule_B_1
40,44,85,approach,11,order1,reward,normal,111,3,schedule_B_1
20,20,70,approach,12,order1,reward,normal,112,3,schedule_B_1
80,62,80,approach,13,order1,reward,normal,113,3,schedule_B_1
100,101,70,approach,14,order1,reward,normal,114,3,schedule_B_1
80,77,85,approach,15,order1,reward,normal,115,3,schedule_B_1
80,79,75,approach,16,order1,reward,normal,116,3,schedule_B_1
60,63,50,approach,17,order1,reward,normal,117,3,schedule_B_1
80,72,75,approach,18,order1,reward,normal,118,3,schedule_B_1
100,84,85,approach,19,order1,reward,normal,119,3,schedule_B_1
80,70,70,approach,20,order1,reward,normal,120,3,schedule_B_1
60,55,85,approach,21,order1,reward,normal,121,3,schedule_B_1
80,72,100,approach,22,order1,reward,normal,122,3,schedule_B_1
80,82,95,approach,23,order1,reward,normal,123,3,schedule_B_1
100,88,90,approach,24,order1,reward,normal,124,3,schedule_B_1
80,66,60,approach,25,order1,reward,normal,125,3,schedule_B_1
40,42,100,approach,26,order1,reward,normal,126,3,schedule_B_1
60,56,95,approach,27,order1,reward,normal,127,3,schedule_B_1
60,49,70,approach,28,order1,reward,normal,128,3,schedule_B_1
20,19,75,approach,29,order1,reward,normal,129,3,schedule_B_1
100,105,80,approach,30,order1,reward,normal,130,3,schedule_B_1
100,77,100,approach,31,order1,reward,normal,131,3,schedule_B_1
60,68,80,approach,32,order1,reward,normal,132,3,schedule_B_1
20,19,55,approach,33,order1,reward,normal,133,3,schedule_B_1
60,56,75,approach,34,order1,reward,normal,134,3,schedule_B_1
40,36,55,approach,35,order1,reward,normal,135,3,schedule_B_1
100,98,60,approach,36,order1,reward,normal,136,3,schedule_B_1
100,102,80,approach,37,order1,reward,normal,137,3,schedule_B_1
40,51,70,approach,38,order1,reward,normal,138,3,schedule_B_1
40,27,90,approach,39,order1,reward,normal,139,3,schedule_B_1
