outcome_level,actual_outcome,effort,action_type,rating,trial_in_block,trial_order,attention_focus,global_effort_state,trial_in_experiment,block_number,schedule_version
-40,-40,80,avoid,False,1,order1,heart,normal,1,1,schedule_B_5
-80,-81,90,avoid,False,2,order1,heart,normal,2,1,schedule_B_5
-40,-36,95,avoid,False,3,order1,heart,normal,3,1,schedule_B_5
-20,-16,95,avoid,False,4,order1,heart,normal,4,1,schedule_B_5
-40,-41,85,avoid,True,5,order1,heart,normal,5,1,schedule_B_5
-20,-22,60,avoid,False,6,order1,heart,normal,6,1,schedule_B_5
-60,-59,80,avoid,False,7,order1,heart,normal,7,1,schedule_B_5
-20,-20,55,avoid,False,8,order1,heart,normal,8,1,schedule_B_5
-20,-20,75,avoid,False,9,order1,heart,normal,9,1,schedule_B_5
-80,-89,75,avoid,False,10,order1,heart,normal,10,1,schedule_B_5
-60,-53,95,avoid,False,11,order1,heart,normal,11,1,schedule_B_5
-40,-46,75,avoid,True,12,order1,heart,normal,12,1,schedule_B_5
-100,-97,50,avoid,False,13,order1,heart,normal,13,1,schedule_B_5
-20,-19,100,avoid,False,14,order1,heart,normal,14,1,schedule_B_5
-40,-45,85,avoid,False,15,order1,heart,normal,15,1,schedule_B_5
-20,-22,50,avoid,False,16,order1,heart,normal,16,1,schedule_B_5
-100,-81,80,avoid,True,17,order1,heart,normal,17,1,schedule_B_5
-60,-56,75,avoid,False,18,order1,heart,normal,18,1,schedule_B_5
-40,-34,70,avoid,False,19,order1,heart,normal,19,1,schedule_B_5
-20,-22,85,avoid,False,20,order1,heart,normal,20,1,schedule_B_5
-80,-81,70,avoid,False,21,order1,heart,normal,21,1,schedule_B_5
-80,-75,95,avoid,False,22,order1,heart,normal,22,1,schedule_B_5
-80,-88,55,avoid,True,23,order1,heart,normal,23,1,schedule_B_5
-80,-77,100,avoid,False,24,order1,heart,normal,24,1,schedule_B_5
-100,-115,55,avoid,False,25,order1,heart,normal,25,1,schedule_B_5
-100,-106,65,avoid,False,26,order1,heart,normal,26,1,schedule_B_5
-20,-22,90,avoid,False,27,order1,heart,normal,27,1,schedule_B_5
-80,-87,85,avoid,False,28,order1,heart,normal,28,1,schedule_B_5
-60,-63,60,avoid,False,29,order1,heart,normal,29,1,schedule_B_5
-20,-18,55,avoid,False,30,order1,heart,normal,30,1,schedule_B_5
-100,-89,100,avoid,True,31,order1,heart,normal,31,1,schedule_B_5
-40,-36,80,avoid,False,32,order1,heart,normal,32,1,schedule_B_5
-80,-63,100,avoid,False,33,order1,heart,normal,33,1,schedule_B_5
-60,-63,100,avoid,False,34,order1,heart,normal,34,1,schedule_B_5
-20,-19,65,avoid,False,35,order1,heart,normal,35,1,schedule_B_5
-60,-58,95,avoid,False,36,order1,heart,normal,36,1,schedule_B_5
-20,-19,60,avoid,False,37,order1,heart,normal,37,1,schedule_B_5
-80,-84,50,avoid,False,38,order1,heart,normal,38,1,schedule_B_5
-100,-93,90,avoid,False,39,order1,heart,normal,39,1,schedule_B_5
-100,-98,75,avoid,True,40,order1,heart,normal,40,1,schedule_B_5
-60,-72,100,avoid,False,41,order1,heart,normal,41,1,schedule_B_5
-40,-41,75,avoid,False,42,order1,heart,normal,42,1,schedule_B_5
-80,-68,80,avoid,False,43,order1,heart,normal,43,1,schedule_B_5
-60,-55,90,avoid,False,44,order1,heart,normal,44,1,schedule_B_5
-60,-57,90,avoid,False,45,order1,heart,normal,45,1,schedule_B_5
-40,-40,90,avoid,False,46,order1,heart,normal,46,1,schedule_B_5
-20,-23,50,avoid,False,47,order1,heart,normal,47,1,schedule_B_5
-60,-59,85,avoid,False,48,order1,heart,normal,48,1,schedule_B_5
-80,-85,60,avoid,False,49,order1,heart,normal,49,1,schedule_B_5
-20,-20,65,avoid,True,50,order1,heart,normal,50,1,schedule_B_5
-20,-20,55,avoid,False,1,order2,heart,shifted,51,2,schedule_B_5
-40,-40,90,avoid,False,2,order2,heart,shifted,52,2,schedule_B_5
-60,-55,90,avoid,False,3,order2,heart,shifted,53,2,schedule_B_5
-20,-20,65,avoid,False,4,order2,heart,shifted,54,2,schedule_B_5
-60,-56,75,avoid,False,5,order2,heart,shifted,55,2,schedule_B_5
-60,-72,100,avoid,False,6,order2,heart,shifted,56,2,schedule_B_5
-100,-81,80,avoid,True,7,order2,heart,shifted,57,2,schedule_B_5
