trial_number,outcome_level,actual_outcome,effort,action_type,effort_state,attention_focus
1,80,94,70,approach,true,outcome
2,100,104,70,approach,true,outcome
3,40,40,75,approach,true,outcome
4,60,48,95,approach,true,outcome
5,100,97,85,approach,true,outcome
6,100,96,85,approach,true,outcome
7,40,39,55,approach,true,outcome
8,40,37,55,approach,true,outcome
9,20,19,75,approach,true,outcome
10,60,57,70,approach,true,outcome
11,20,17,60,approach,true,outcome
12,60,65,70,approach,true,outcome
13,80,87,85,approach,true,outcome
14,40,46,65,approach,true,outcome
15,100,100,50,approach,true,outcome
16,80,76,75,approach,true,outcome
17,20,18,55,approach,true,outcome
18,80,67,70,approach,true,outcome
19,40,43,60,approach,true,outcome
20,40,35,70,approach,true,outcome
21,100,88,60,approach,true,outcome
22,80,78,65,approach,true,outcome
23,40,45,85,approach,true,outcome
24,100,102,90,approach,true,outcome
25,80,71,100,approach,true,outcome
26,60,55,65,approach,true,outcome
27,40,42,50,approach,true,outcome
28,80,78,90,approach,true,outcome
29,60,55,65,approach,true,outcome
30,60,58,75,approach,true,outcome
31,40,42,65,approach,true,outcome
32,80,95,75,approach,true,outcome
33,60,52,100,approach,true,outcome
34,40,37,50,approach,true,outcome
35,60,55,80,approach,true,outcome
36,60,45,55,approach,true,outcome
37,40,36,100,approach,true,outcome
38,20,17,80,approach,true,outcome
39,40,44,60,approach,true,outcome
40,100,98,90,approach,true,outcome
41,100,83,80,approach,true,outcome
42,60,63,75,approach,true,outcome
43,20,19,85,approach,true,outcome
44,20,16,90,approach,true,outcome
45,100,94,55,approach,true,outcome
46,100,94,80,approach,true,outcome
47,80,73,95,approach,true,outcome
48,80,80,80,approach,true,outcome
49,80,62,85,approach,true,outcome
50,20,19,70,approach,true,outcome
51,-60,-53,55,avoid,true,outcome
52,-20,-18,50,avoid,true,outcome
53,-40,-35,80,avoid,true,outcome
54,-40,-35,65,avoid,true,outcome
55,-60,-51,90,avoid,true,outcome
56,-40,-44,80,avoid,true,outcome
57,-20,-18,75,avoid,true,outcome
58,-60,-71,100,avoid,true,outcome
59,-100,-106,90,avoid,true,outcome
60,-100,-119,85,avoid,true,outcome
61,-100,-89,100,avoid,true,outcome
62,-20,-17,80,avoid,true,outcome
63,-20,-20,60,avoid,true,outcome
64,-80,-65,95,avoid,true,outcome
65,-60,-64,85,avoid,true,outcome
66,-40,-39,90,avoid,true,outcome
67,-20,-19,60,avoid,true,outcome
68,-60,-66,95,avoid,true,outcome
69,-60,-57,90,avoid,true,outcome
70,-20,-16,50,avoid,true,outcome
71,-80,-88,85,avoid,true,outcome
72,-40,-36,90,avoid,true,outcome
73,-60,-60,95,avoid,true,outcome
74,-80,-65,75,avoid,true,outcome
75,-60,-57,100,avoid,true,outcome
76,-20,-18,55,avoid,true,outcome
77,-20,-18,85,avoid,true,outcome
78,-60,-58,75,avoid,true,outcome
79,-60,-68,60,avoid,true,outcome
80,-80,-68,50,avoid,true,outcome
81,-20,-22,55,avoid,true,outcome
82,-60,-58,70,avoid,true,outcome
83,-100,-93,75,avoid,true,outcome
84,-100,-108,80,avoid,true,outcome
85,-40,-39,75,avoid,true,outcome
86,-20,-17,90,avoid,true,outcome
87,-40,-40,75,avoid,true,outcome
88,-100,-108,95,avoid,true,outcome
89,-80,-103,100,avoid,true,outcome
90,-40,-43,70,avoid,true,outcome
91,-60,-63,65,avoid,true,outcome
92,-100,-105,50,avoid,true,outcome
93,-100,-109,65,avoid,true,outcome
94,-40,-38,55,avoid,true,outcome
95,-80,-84,90,avoid,true,outcome
96,-40,-40,85,avoid,true,outcome
97,-20,-18,70,avoid,true,outcome
98,-80,-86,80,avoid,true,outcome
99,-60,-61,80,avoid,true,outcome
100,-40,-31,95,avoid,true,outcome
