trial_number,outcome_level,actual_outcome,effort,action_type,effort_state,attention_focus
1,40,41,55,approach,true,outcome
2,100,93,85,approach,true,outcome
3,40,40,60,approach,true,outcome
4,80,66,60,approach,true,outcome
5,20,21,50,approach,true,outcome
6,100,84,85,approach,true,outcome
7,20,20,60,approach,true,outcome
8,100,98,90,approach,true,outcome
9,40,36,55,approach,true,outcome
10,40,51,70,approach,true,outcome
11,80,75,80,approach,true,outcome
12,20,20,50,approach,true,outcome
13,80,88,50,approach,true,outcome
14,80,70,70,approach,true,outcome
15,60,68,80,approach,true,outcome
16,20,19,55,approach,true,outcome
17,40,44,85,approach,true,outcome
18,80,72,100,approach,true,outcome
19,60,53,75,approach,true,outcome
20,40,44,75,approach,true,outcome
21,100,105,80,approach,true,outcome
22,100,101,70,approach,true,outcome
23,40,42,100,approach,true,outcome
24,60,63,50,approach,true,outcome
25,100,88,90,approach,true,outcome
26,80,62,80,approach,true,outcome
27,60,49,70,approach,true,outcome
28,60,49,70,approach,true,outcome
29,100,77,100,approach,true,outcome
30,60,56,65,approach,true,outcome
31,60,56,75,approach,true,outcome
32,20,19,100,approach,true,outcome
33,100,102,80,approach,true,outcome
34,40,38,80,approach,true,outcome
35,20,19,75,approach,true,outcome
36,20,20,70,approach,true,outcome
37,80,72,75,approach,true,outcome
38,40,37,65,approach,true,outcome
39,80,80,85,approach,true,outcome
40,60,55,85,approach,true,outcome
41,60,56,95,approach,true,outcome
42,80,79,75,approach,true,outcome
43,20,22,90,approach,true,outcome
44,80,82,95,approach,true,outcome
45,80,77,85,approach,true,outcome
46,40,37,95,approach,true,outcome
47,100,98,60,approach,true,outcome
48,60,73,65,approach,true,outcome
49,40,27,90,approach,true,outcome
50,60,63,100,approach,true,outcome
51,-60,-58,95,avoid,true,outcome
52,-20,-18,55,avoid,true,outcome
53,-80,-89,75,avoid,true,outcome
54,-80,-63,100,avoid,true,outcome
55,-60,-53,95,avoid,true,outcome
56,-20,-20,55,avoid,true,outcome
57,-60,-59,80,avoid,true,outcome
58,-80,-85,60,avoid,true,outcome
59,-20,-19,65,avoid,true,outcome
60,-80,-81,70,avoid,true,outcome
61,-40,-36,80,avoid,true,outcome
62,-60,-57,90,avoid,true,outcome
63,-40,-40,80,avoid,true,outcome
64,-100,-93,90,avoid,true,outcome
65,-80,-75,95,avoid,true,outcome
66,-100,-97,50,avoid,true,outcome
67,-100,-115,55,avoid,true,outcome
68,-100,-89,100,avoid,true,outcome
69,-20,-22,85,avoid,true,outcome
70,-20,-22,60,avoid,true,outcome
71,-20,-20,65,avoid,true,outcome
72,-60,-56,75,avoid,true,outcome
73,-40,-34,70,avoid,true,outcome
74,-20,-23,50,avoid,true,outcome
75,-80,-68,80,avoid,true,outcome
76,-20,-16,95,avoid,true,outcome
77,-20,-20,75,avoid,true,outcome
78,-40,-40,90,avoid,true,outcome
79,-60,-63,100,avoid,true,outcome
80,-80,-84,50,avoid,true,outcome
81,-20,-22,50,avoid,true,outcome
82,-40,-46,75,avoid,true,outcome
83,-80,-81,90,avoid,true,outcome
84,-20,-19,60,avoid,true,outcome
85,-100,-81,80,avoid,true,outcome
86,-80,-88,55,avoid,true,outcome
87,-60,-72,100,avoid,true,outcome
88,-60,-59,85,avoid,true,outcome
89,-40,-41,75,avoid,true,outcome
90,-20,-19,100,avoid,true,outcome
91,-40,-41,85,avoid,true,outcome
92,-20,-22,90,avoid,true,outcome
93,-100,-106,65,avoid,true,outcome
94,-60,-55,90,avoid,true,outcome
95,-80,-77,100,avoid,true,outcome
96,-80,-87,85,avoid,true,outcome
97,-40,-36,95,avoid,true,outcome
98,-40,-45,85,avoid,true,outcome
99,-60,-63,60,avoid,true,outcome
100,-100,-98,75,avoid,true,outcome
